p1		p2	
1856	DVL2	7855	FZD5
1856	DVL2	59349	KLHL12
1856	DVL2	4920	ROR2
1856	DVL2	9829	DNAJC6
1856	DVL2	7478	WNT8A
1856	DVL2	387	RHOA
1856	DVL2	408	ARRB1
1856	DVL2	8322	FZD4
79657	RPAP3	55011	PIH1D1
51226	COPZ2	10282	BET1
51226	COPZ2	9570	GOSR2
51226	COPZ2	662	BNIP1
51226	COPZ2	1315	COPB1
51226	COPZ2	1175	AP2S1
51226	COPZ2	377	ARF3
51226	COPZ2	11014	KDELR2
51226	COPZ2	10959	TMED2
51226	COPZ2	11316	COPE
51226	COPZ2	26286	ARFGAP3
51226	COPZ2	55850	USE1
51226	COPZ2	372	ARCN1
51226	COPZ2	11070	TMEM115
51226	COPZ2	375	ARF1
51226	COPZ2	84516	DCTN5
51226	COPZ2	23423	TMED3
51226	COPZ2	10972	TMED10
51226	COPZ2	378	ARF4
51226	COPZ2	84342	COG8
51226	COPZ2	53407	STX18
51226	COPZ2	55738	ARFGAP1
51226	COPZ2	22820	COPG1
51226	COPZ2	9276	COPB2
51226	COPZ2	10945	KDELR1
51226	COPZ2	1174	AP1S1
51226	COPZ2	22872	SEC31A
51226	COPZ2	160	AP2A1
51226	COPZ2	22796	COG2
51226	COPZ2	1314	COPA
51226	COPZ2	8729	GBF1
51226	COPZ2	25956	SEC31B
51226	COPZ2	51272	BET1L
51226	COPZ2	11015	KDELR3
51226	COPZ2	51014	TMED7
51226	COPZ2	84364	ARFGAP2
51226	COPZ2	381	ARF5
79090	TRAPPC6A	10652	YKT6
79090	TRAPPC6A	26984	SEC22A
79090	TRAPPC6A	9117	SEC22C
79090	TRAPPC6A	7109	TRAPPC10
79090	TRAPPC6A	51693	TRAPPC2L
79090	TRAPPC6A	58485	TRAPPC1
79090	TRAPPC6A	10484	SEC23A
79090	TRAPPC6A	81876	RAB1B
79090	TRAPPC6A	6399	TRAPPC2
79090	TRAPPC6A	5861	RAB1A
79090	TRAPPC6A	126003	TRAPPC5
79090	TRAPPC6A	27095	TRAPPC3
79090	TRAPPC6A	83696	TRAPPC9
79090	TRAPPC6A	51399	TRAPPC4
79090	TRAPPC6A	8615	USO1
4706	NDUFAB1	4720	NDUFS2
4706	NDUFAB1	4694	NDUFA1
4706	NDUFAB1	4725	NDUFS5
4706	NDUFAB1	4702	NDUFA8
4706	NDUFAB1	79133	NDUFAF5
4706	NDUFAB1	4712	NDUFB6
4706	NDUFAB1	126328	NDUFA11
4706	NDUFAB1	4719	NDUFS1
4706	NDUFAB1	4700	NDUFA6
4706	NDUFAB1	51079	NDUFA13
4706	NDUFAB1	4701	NDUFA7
4706	NDUFAB1	4710	NDUFB4
