"V1"	"V2"	"V3"
65.4	89845.3	0.1623458
65.4	10057.3	0.1149319
65.4	6833.3	0.1917133
65.4	23305.3	0.09959167
65.4	58.3	0.09009837
65.4	86.3	0.1583361
65.4	91.3	0.06599705
65.4	130399.3	0.2915801
65.4	92.3	0.02924449
65.4	8751.3	0.2505796
65.4	11096.3	0.3725148
65.4	11095.3	0.3081618
65.4	153.3	0.3284848
65.4	154.3	0.3329953
65.4	155.3	0.3483767
65.4	2334.3	0.2610122
65.4	27125.3	0.08795189
65.4	55966.3	0.1305868
65.4	230.3	0.06082823
65.4	83607.3	0.02615684
65.4	154796.3	0.0423272
65.4	401138.3	0.2012066
65.4	150709.3	0.02431726
65.4	157567.3	0.05174663
65.4	1174.3	0.06665574
65.4	1175.3	0.1021696
65.4	10307.3	0.02956052
65.4	351.3	0.001142519
65.4	363.3	0.1032086
65.4	57569.3	0.2269454
65.4	22899.3	0.007474229
65.4	10620.3	0.1225211
65.4	285598.3	0.08720439
65.4	10776.3	0.02293401
65.4	91947.3	0.06930312
65.4	55870.3	0.1067952
65.4	439.3	0.09909688
65.4	55729.3	0.1274342
65.4	488.3	0.009548896
65.4	490.3	0.16107
65.4	9296.3	0.1131017
65.4	10396.3	0.1461996
65.4	26033.3	0.2170562
65.4	57099.3	0.1530043
65.4	571.3	0.1247456
65.4	60468.3	0.07163852
65.4	25805.3	0.2406893
65.4	54828.3	0.007437095
65.4	586.3	0.07876791
65.4	597.3	0.05572467
65.4	598.3	0.02919054
65.4	57596.3	0.04138185
65.4	90427.3	0.1243146
65.4	55290.3	0.1709262
65.4	84312.3	0.07221318
65.4	91408.3	0.06887553
65.4	9689.3	0.002057609
65.4	28969.3	0.1364225
65.4	122525.3	0.01864173
65.4	84529.3	0.08959341
65.4	717.3	0.2308755
65.4	285636.3	0.18641
65.4	135398.3	0.007170533
65.4	56260.3	0.06308997
65.4	541565.3	0.0003118868
65.4	783.3	0.05069398
65.4	10203.3	0.07646951
65.4	65981.3	0.03594485
65.4	863.3	0.1236191
65.4	203260.3	0.06552922
65.4	6348.3	0.1002132
65.4	54619.3	0.06089766
65.4	7203.3	0.02922466
65.4	966.3	0.002826288
65.4	942.3	0.07490747
65.4	993.3	0.0401109
65.4	997.3	0.05221485
65.4	54901.3	0.002770251
65.4	55573.3	0.03485102
65.4	153241.3	0.2254229
65.4	9662.3	0.060193
65.4	51148.3	0.1879721
65.4	57530.3	0.120309
65.4	1108.3	0.05971212
65.4	1124.3	0.1605239
65.4	56994.3	0.1120573
65.4	8646.3	0.1533248
65.4	55501.3	0.02994213
65.4	1154.3	0.1709592
65.4	23122.3	0.2949273
65.4	1184.3	0.04172715
65.4	10978.3	0.009775454
65.4	113540.3	0.1179175
65.4	4850.3	0.03747654
65.4	5067.3	0.05244206
65.4	22837.3	0.01312232
65.4	8161.3	0.2153459
65.4	7373.3	0.3296113
65.4	1277.3	0.1393581
65.4	1278.3	0.0123131
65.4	85301.3	0.1754697
65.4	1281.3	0.1275995
65.4	1284.3	0.09444783
65.4	1290.3	0.3159825
65.4	1359.3	0.513723
65.4	51200.3	0.03075259
65.4	1362.3	0.01330827
65.4	64506.3	0.07171812
65.4	132864.3	0.06891322
65.4	1368.3	0.2719525
65.4	23418.3	0.03826438
65.4	1588.3	0.1064761
65.4	113612.3	0.1066063
65.4	10858.3	0.213126
65.4	1603.3	0.007406884
65.4	747.3	0.07141286
65.4	1612.3	0.1743432
65.4	50717.3	0.05401322
65.4	64858.3	0.06340174
65.4	123879.3	0.02693712
65.4	23142.3	0.2782977
65.4	80821.3	0.01234224
65.4	84301.3	0.06265018
65.4	55308.3	0.0004677085
65.4	11269.3	0.004457897
65.4	90957.3	0.06257144
65.4	1730.3	0.1609549
65.4	23405.3	0.05821354
65.4	27122.3	0.1656559
65.4	9229.3	0.08297316
65.4	1743.3	0.03026039
65.4	1756.3	0.4790757
65.4	10655.3	0.05552069
65.4	1788.3	0.03789655
65.4	8448.3	0.07547299
65.4	1795.3	0.09340849
65.4	5977.3	0.07297335
65.4	10072.3	0.1315548
65.4	113878.3	0.09835454
65.4	80824.3	0.03351917
65.4	1848.3	0.248941
65.4	51626.3	0.07708953
65.4	1859.3	0.0320587
65.4	1870.3	0.08915633
65.4	1875.3	0.02399735
65.4	1876.3	0.008215715
65.4	9166.3	0.1824089
65.4	1896.3	0.04501577
65.4	23644.3	0.1533533
65.4	80267.3	0.09701816
65.4	1960.3	0.232002
65.4	2000.3	0.1818995
65.4	6785.3	0.1138053
65.4	2109.3	0.02521925
65.4	55500.3	0.04782094
65.4	10640.3	0.1315983
65.4	2145.3	0.1588879
65.4	2146.3	0.1548824
65.4	11124.3	0.01943448
65.4	84923.3	0.02854877
65.4	55007.3	0.1310454
65.4	54954.3	0.01663154
65.4	64760.3	0.05977114
65.4	10712.3	0.1601295
65.4	80256.3	0.03730728
65.4	80256.3	0.03730728
65.4	203259.3	0.06455423
65.4	51571.3	0.02730748
65.4	653820.3	0.001770329
65.4	153643.3	0.01622121
65.4	157638.3	0.168154
65.4	355.3	0.2004744
65.4	356.3	0.02087771
65.4	10922.3	0.1996078
65.4	2200.3	0.2406893
65.4	2256.3	0.01064207
65.4	114827.3	0.06483379
65.4	55137.3	0.01444092
65.4	2281.3	0.2109836
65.4	22862.3	0.08779843
65.4	93986.3	0.1352548
65.4	80144.3	0.1560133
65.4	23150.3	0.2082212
65.4	143162.3	0.04828471
65.4	53827.3	0.2121101
65.4	9846.3	0.2253079
65.4	2571.3	0.0384367
65.4	2581.3	0.05214097
65.4	2582.3	0.2621388
65.4	2589.3	0.009900281
65.4	8139.3	0.1133743
65.4	8522.3	0.1511412
65.4	8729.3	0.08389666
65.4	51301.3	0.06894996
65.4	54834.3	0.0003048043
65.4	392255.3	0.06552478
65.4	23163.3	0.1490685
65.4	10755.3	0.04386958
65.4	2705.3	0.1571399
65.4	2774.3	0.04451081
65.4	2787.3	0.06151922
65.4	79158.3	0.1341283
65.4	51125.3	0.008880325
65.4	51026.3	0.09557689
65.4	27238.3	0.09759367
65.4	56834.3	0.1289962
65.4	9687.3	0.1210176
65.4	1839.3	0.008375368
65.4	23119.3	0.2845254
65.4	64344.3	0.2098571
65.4	3159.3	0.1699066
65.4	3185.3	0.03312584
65.4	51361.3	0.1035605
65.4	3198.3	0.0007499778
65.4	3214.3	0.01576714
65.4	3231.3	0.03695007
65.4	51182.3	0.04848341
65.4	22824.3	0.1197302
65.4	3316.3	0.1605239
65.4	3480.3	0.004847798
65.4	10644.3	0.003938724
65.4	10643.3	0.00509053
65.4	22807.3	0.2406893
65.4	64375.3	0.1625422
65.4	3586.3	0.09938375
65.4	3590.3	0.1501268
65.4	27124.3	0.3284848
65.4	3643.3	0.1240044
65.4	9657.3	0.1451098
65.4	8660.3	0.2621388
65.4	3670.3	0.1017385
65.4	3690.3	0.3269228
65.4	3696.3	0.01487902
65.4	84056.3	0.2702045
65.4	9424.3	0.184157
65.4	57528.3	0.05513063
65.4	283219.3	0.004391318
65.4	23046.3	0.07464756
65.4	55582.3	0.08631597
65.4	687.3	0.03190164
65.4	200942.3	0.1761788
65.4	5653.3	0.1271575
65.4	3852.3	0.05833017
65.4	114294.3	0.0143411
65.4	3930.3	0.1209306
65.4	254251.3	0.02437163
65.4	55366.3	0.2181827
65.4	22998.3	0.04759037
65.4	80774.3	0.2075996
65.4	3993.3	0.332601
65.4	4008.3	0.1332811
65.4	9860.3	0.1666332
65.4	121227.3	0.1093687
65.4	10234.3	0.2818814
65.4	116135.3	0.265768
65.4	134353.3	0.08581102
65.4	26046.3	0.1825949
65.4	4063.3	0.06478244
65.4	11313.3	0.2577021
65.4	10894.3	0.07515252
65.4	84061.3	0.03123474
65.4	256691.3	0.2418158
65.4	4122.3	0.06192288
65.4	149175.3	0.02730748
65.4	4214.3	0.1330018
65.4	4216.3	0.0373856
65.4	8491.3	0.04469529
65.4	9448.3	0.137118
65.4	5597.3	0.1817873
65.4	92935.3	0.08038651
65.4	5648.3	0.1709592
65.4	375449.3	0.2214928
65.4	114785.3	0.1594712
65.4	4188.3	0.1149319
65.4	4204.3	0.07280372
65.4	80306.3	0.0735645
65.4	4209.3	0.09430207
65.4	56917.3	0.09835454
65.4	84879.3	0.185719
65.4	11320.3	0.04563733
65.4	11343.3	0.1642651
65.4	57534.3	0.07829146
65.4	23531.3	0.1308936
65.4	4335.3	0.1753616
65.4	9553.3	0.05240532
65.4	4084.3	0.229238
65.4	4602.3	0.07759603
65.4	4628.3	0.07230199
65.4	4645.3	0.1122433
65.4	80155.3	0.06260927
65.4	79829.3	0.08168468
65.4	222236.3	0.05416262
65.4	79731.3	0.1087839
65.4	57701.3	0.04146059
65.4	8648.3	0.07713743
65.4	8202.3	0.1774628
65.4	56901.3	0.0974125
65.4	23114.3	0.2445043
65.4	85407.3	0.06802731
65.4	51701.3	0.110996
65.4	4833.3	0.02883747
65.4	10201.3	0.2871955
65.4	23530.3	0.05680329
65.4	4857.3	0.2308755
65.4	4893.3	0.3332679
65.4	286053.3	0.1588864
65.4	22978.3	0.05724501
65.4	4928.3	0.1373697
65.4	55916.3	0.01168105
65.4	9480.3	0.116925
65.4	26031.3	0.1708426
65.4	5008.3	0.08897185
65.4	9180.3	0.2918444
65.4	5058.3	0.1812779
65.4	5069.3	0.1441735
65.4	84612.3	0.08558567
65.4	5089.3	0.09164103
65.4	5090.3	0.04398463
65.4	57060.3	0.03476647
65.4	57526.3	0.2708999
65.4	9468.3	0.07673386
65.4	201626.3	0.1547249
65.4	5150.3	0.2471929
65.4	5154.3	0.09224079
65.4	55066.3	0.3159825
65.4	5195.3	0.07904302
65.4	5828.3	0.06804661
65.4	10857.3	0.009925964
65.4	23133.3	0.1121311
65.4	55300.3	0.1450686
65.4	51588.3	0.05676809
65.4	5277.3	0.1357189
65.4	118788.3	0.1476833
65.4	9033.3	0.0296437
65.4	5569.3	0.2219239
65.4	5326.3	0.1628181
65.4	5329.3	0.1278697
65.4	5330.3	0.1055536
65.4	345557.3	0.1514616
65.4	23646.3	0.02582865
65.4	200150.3	0.04785362
65.4	55200.3	0.07533855
65.4	57048.3	0.01811971
65.4	23129.3	0.2324331
65.4	25953.3	0.1019617
65.4	5436.3	0.1428156
65.4	5452.3	0.1702638
65.4	4660.3	0.04917363
65.4	84919.3	0.0776699
65.4	26051.3	0.06334561
65.4	5534.3	0.0515939
65.4	7799.3	0.09624635
65.4	5565.3	0.1754697
65.4	5581.3	0.1078115
65.4	55119.3	0.1377859
65.4	5631.3	0.1097646
65.4	5396.3	0.1461996
65.4	64063.3	0.1247456
65.4	146547.3	0.02959348
65.4	283659.3	0.08795594
65.4	5764.3	0.1724046
65.4	5789.3	0.1544513
65.4	29942.3	0.04558538
65.4	11264.3	0.1336972
65.4	23615.3	0.01077367
65.4	5859.3	0.07249737
65.4	84440.3	0.3416826
65.4	9910.3	0.1500147
65.4	5884.3	0.2179513
65.4	5899.3	0.0373856
65.4	5903.3	0.03364482
65.4	10125.3	0.0008212882
65.4	91608.3	0.05968233
65.4	9584.3	0.02008107
65.4	55920.3	0.1073686
65.4	157506.3	0.1330018
65.4	5962.3	0.1465838
65.4	130120.3	0.02084673
65.4	222546.3	0.009904454
65.4	222546.3	0.009904454
65.4	6004.3	0.163834
65.4	64285.3	0.04607286
65.4	253260.3	0.06494884
65.4	8780.3	0.05179353
65.4	11342.3	0.1240832
65.4	11236.3	0.03318035
65.4	494470.3	0.02156869
65.4	56254.3	0.04687446
65.4	6048.3	0.1469327
65.4	9616.3	0.1024749
65.4	9025.3	0.0719827
65.4	51136.3	0.2232124
65.4	8731.3	0.02085832
65.4	23248.3	0.05517181
65.4	6197.3	0.07118564
65.4	27079.3	0.100586
65.4	285367.3	0.1248607
65.4	340419.3	0.1906606
65.4	22902.3	0.0128881
65.4	861.3	0.1598284
65.4	6319.3	0.112768
65.4	6330.3	0.1268881
65.4	222663.3	0.1517627
65.4	54910.3	0.011707
65.4	57715.3	0.1835354
65.4	9869.3	0.06415986
65.4	4891.3	0.05755597
65.4	57468.3	0.009309778
65.4	9990.3	0.09679249
65.4	56996.3	0.08584776
65.4	6509.3	0.003149745
65.4	6574.3	0.06101871
65.4	29957.3	0.1225665
65.4	9481.3	0.04193286
65.4	81034.3	0.02367356
65.4	1811.3	0.1571399
65.4	1317.3	0.02243531
65.4	7355.3	0.2686139
65.4	10237.3	0.225739
65.4	11046.3	0.1381064
65.4	8671.3	0.09034905
65.4	6529.3	0.08869256
65.4	9057.3	0.120773
65.4	7871.3	0.07004896
65.4	4087.3	0.06571895
65.4	60682.3	0.02012014
65.4	56916.3	0.09340849
65.4	6599.3	0.1575819
65.4	8243.3	0.07075861
65.4	9126.3	0.05108833
65.4	140775.3	0.0237523
65.4	64089.3	0.009222308
65.4	81609.3	0.1073496
65.4	401548.3	0.1342022
65.4	8651.3	0.06608208
