	mi2		
5116.5	79002.4	0.1635079	0.1692294
5116.5	57019.4	0.1770359	0.1832308
5116.5	8479.4	0.1522396	0.1575668
5116.5	51279.4	0.4246608	0.4395207
5116.5	2289.4	0.1246206	0.1289813
5116.5	377047.4	0.282017	0.2918854
5116.5	10715.4	0.4850626	0.502036
5116.5	57097.4	0.2263825	0.2343041
5116.5	408.4	0.3580357	0.3705641
5116.5	50489.4	0.4760114	0.4926681
5116.5	2962.4	0.156555	0.1620332
5116.5	5521.4	0.354139	0.3665311
5116.5	286077.4	0.318425	0.3295674
5116.5	5209.4	0.4010252	0.415058
5116.5	548644.4	0.0922305	0.09545786
5116.5	8434.4	0.2917639	0.3019734
5116.5	7185.4	0.09548936	0.09883075
5116.5	340204.4	0.1591195	0.1646875
5116.5	55143.4	0.5761689	0.5963304
5116.5	51006.4	0.1282114	0.1326979
5116.5	257194.4	0.4209635	0.435694
5116.5	83998.4	0.3287767	0.3402813
5116.5	5549.4	0.4404118	0.4558228
5116.5	100134938.4	0.1803138	0.1866234
5116.5	64856.4	0.3740967	0.3871872
5116.5	51337.4	0.1505591	0.1558275
5116.5	7988.4	0.2238944	0.231729
5116.5	81618.4	0.483805	0.5007344
5116.5	8824.4	0.1713342	0.1773296
5116.5	1785.4	0.1305754	0.1351445
5116.5	124857.4	0.08968916	0.09282758
5116.5	85007.4	0.3590896	0.371655
5116.5	7565.4	0.03225013	0.03337863
5116.5	57555.4	0.390809	0.4044843
5116.5	255738.4	0.517953	0.5360774
5116.5	2785.4	0.00383216	0.003966256
5116.5	57630.4	0.2224907	0.2302762
5116.5	9066.4	0.5701915	0.5901437
5116.5	57180.4	0.356751	0.3692345
5116.5	1663.4	0.3139488	0.3249346
5116.5	9526.4	0.08525557	0.08823886
5116.5	29993.4	0.4520116	0.4678285
5116.5	9423.4	0.3544254	0.3668276
5116.5	7621.4	0.1211339	0.1253727
5116.5	7486.4	0.2728805	0.2824292
5116.5	7477.4	0.5957521	0.6165988
5116.5	23558.4	0.001727848	0.001788309
5116.5	22846.4	0.09113429	0.09432328
5116.5	81605.4	0.1250369	0.1294122
