"C1"	"C2"	"X"
81669.1	81669.3	9.63268701449351e-06
1855.1	1855.3	9.63268701449351e-06
127281.1	127281.3	9.63268701449351e-06
142678.1	142678.3	9.63268701449351e-06
54587.1	54587.3	9.63268701449351e-06
26155.1	26155.3	9.63268701449351e-06
5192.1	5192.3	9.63268701449351e-06
63976.1	63976.3	9.63268701449351e-06
11079.1	11079.3	9.63268701449351e-06
148398.1	148398.3	9.63268701449351e-06
51150.1	51150.3	9.63268701449351e-06
6497.1	6497.3	9.63268701449351e-06
29101.1	29101.3	9.63268701449351e-06
64856.1	64856.3	9.63268701449351e-06
127262.1	127262.3	9.63268701449351e-06
7161.1	7161.3	9.63268701449351e-06
57470.1	57470.3	9.63268701449351e-06
9731.1	9731.3	9.63268701449351e-06
1677.1	1677.3	9.63268701449351e-06
339448.1	339448.3	9.63268701449351e-06
55966.1	55966.3	9.63268701449351e-06
26038.1	26038.3	9.63268701449351e-06
23463.1	23463.3	9.63268701449351e-06
54626.1	54626.3	9.63268701449351e-06
57449.1	57449.3	9.63268701449351e-06
79707.1	79707.3	9.63268701449351e-06
9903.1	9903.3	9.63268701449351e-06
148479.1	148479.3	9.63268701449351e-06
9341.1	9341.3	9.63268701449351e-06
8863.1	8863.3	9.63268701449351e-06
3604.1	3604.3	9.63268701449351e-06
11315.1	11315.3	9.63268701449351e-06
54206.1	54206.3	9.63268701449351e-06
473.1	473.3	9.63268701449351e-06
6518.1	6518.3	9.63268701449351e-06
80045.1	80045.3	9.63268701449351e-06
9563.1	9563.3	9.63268701449351e-06
84275.1	84275.3	9.63268701449351e-06
199953.1	199953.3	9.63268701449351e-06
5293.1	5293.3	9.63268701449351e-06
22883.1	22883.3	9.63268701449351e-06
56998.1	56998.3	9.63268701449351e-06
84328.1	84328.3	9.63268701449351e-06
64802.1	64802.3	9.63268701449351e-06
10277.1	10277.3	9.63268701449351e-06
23095.1	23095.3	9.63268701449351e-06
5226.1	5226.3	9.63268701449351e-06
1676.1	1676.3	9.63268701449351e-06
5195.1	5195.3	9.63268701449351e-06
54897.1	54897.3	9.63268701449351e-06
23435.1	23435.3	9.63268701449351e-06
6723.1	6723.3	9.63268701449351e-06
5394.1	5394.3	9.63268701449351e-06
2475.1	2475.3	9.63268701449351e-06
10218.1	10218.3	9.63268701449351e-06
26232.1	26232.3	9.63268701449351e-06
93611.1	93611.3	9.63268701449351e-06
57085.1	57085.3	9.63268701449351e-06
4524.1	4524.3	9.63268701449351e-06
1185.1	1185.3	9.63268701449351e-06
90231.1	90231.3	9.63268701449351e-06
5351.1	5351.3	9.63268701449351e-06
9927.1	9927.3	9.63268701449351e-06
943.1	943.3	9.63268701449351e-06
7133.1	7133.3	9.63268701449351e-06
55187.1	55187.3	9.63268701449351e-06
10630.1	10630.3	9.63268701449351e-06
7799.1	7799.3	9.63268701449351e-06
55092.1	55092.3	9.63268701449351e-06
114827.1	114827.3	9.63268701449351e-06
79180.1	79180.3	9.63268701449351e-06
23341.1	23341.3	9.63268701449351e-06
79814.1	79814.3	9.63268701449351e-06
84301.1	84301.3	9.63268701449351e-06
23207.1	23207.3	9.63268701449351e-06
54751.1	54751.3	9.63268701449351e-06
284723.1	284723.3	9.63268701449351e-06
23013.1	23013.3	9.63268701449351e-06
1969.1	1969.3	9.63268701449351e-06
54455.1	54455.3	9.63268701449351e-06
4237.1	4237.3	9.63268701449351e-06
55672.1	55672.3	9.63268701449351e-06
55920.1	55920.3	9.63268701449351e-06
23352.1	23352.3	9.63268701449351e-06
23065.1	23065.3	9.63268701449351e-06
51154.1	51154.3	9.63268701449351e-06
8574.1	8574.3	9.63268701449351e-06
54896.1	54896.3	9.63268701449351e-06
832.1	832.3	9.63268701449351e-06
440574.1	440574.3	9.63268701449351e-06
4681.1	4681.3	9.63268701449351e-06
23252.1	23252.3	9.63268701449351e-06
26279.1	26279.3	9.63268701449351e-06
64600.1	64600.3	9.63268701449351e-06
55450.1	55450.3	9.63268701449351e-06
400745.1	400745.3	9.63268701449351e-06
50809.1	50809.3	9.63268701449351e-06
8672.1	8672.3	9.63268701449351e-06
1889.1	1889.3	9.63268701449351e-06
84224.1	84224.3	9.63268701449351e-06
84196.1	84196.3	9.63268701449351e-06
3339.1	3339.3	9.63268701449351e-06
998.1	998.3	9.63268701449351e-06
54361.1	54361.3	9.63268701449351e-06
9923.1	9923.3	9.63268701449351e-06
2048.1	2048.3	9.63268701449351e-06
23028.1	23028.3	9.63268701449351e-06
7798.1	7798.3	9.63268701449351e-06
10236.1	10236.3	9.63268701449351e-06
80818.1	80818.3	9.63268701449351e-06
6920.1	6920.3	9.63268701449351e-06
1870.1	1870.3	9.63268701449351e-06
3399.1	3399.3	9.63268701449351e-06
57095.1	57095.3	9.63268701449351e-06
2582.1	2582.3	9.63268701449351e-06
11313.1	11313.3	9.63268701449351e-06
55629.1	55629.3	9.63268701449351e-06
10772.1	10772.3	9.63268701449351e-06
57185.1	57185.3	9.63268701449351e-06
11123.1	11123.3	9.63268701449351e-06
10250.1	10250.3	9.63268701449351e-06
25932.1	25932.3	9.63268701449351e-06
864.1	864.3	9.63268701449351e-06
6007.1	6007.3	9.63268701449351e-06
25949.1	25949.3	9.63268701449351e-06
23585.1	23585.3	9.63268701449351e-06
57134.1	57134.3	9.63268701449351e-06
164091.1	164091.3	9.63268701449351e-06
3925.1	3925.3	9.63268701449351e-06
5051.1	5051.3	9.63268701449351e-06
149420.1	149420.3	9.63268701449351e-06
83442.1	83442.3	9.63268701449351e-06
91544.1	91544.3	9.63268701449351e-06
3151.1	3151.3	9.63268701449351e-06
6195.1	6195.3	9.63268701449351e-06
8289.1	8289.3	9.63268701449351e-06
55650.1	55650.3	9.63268701449351e-06
84243.1	84243.3	9.63268701449351e-06
2810.1	2810.3	9.63268701449351e-06
54707.1	54707.3	9.63268701449351e-06
10726.1	10726.3	9.63268701449351e-06
23038.1	23038.3	9.63268701449351e-06
10163.1	10163.3	9.63268701449351e-06
27245.1	27245.3	9.63268701449351e-06
2537.1	2537.3	9.63268701449351e-06
23673.1	23673.3	9.63268701449351e-06
55113.1	55113.3	9.63268701449351e-06
5724.1	5724.3	9.63268701449351e-06
22826.1	22826.3	9.63268701449351e-06
83667.1	83667.3	9.63268701449351e-06
54797.1	54797.3	9.63268701449351e-06
65979.1	65979.3	9.63268701449351e-06
1104.1	1104.3	9.63268701449351e-06
6883.1	6883.3	9.63268701449351e-06
115273.1	115273.3	9.63268701449351e-06
10691.1	10691.3	9.63268701449351e-06
2035.1	2035.3	9.63268701449351e-06
