"R1"	"R2"	"X"
7157.3	7161.3	0.110080605566577
7157.3	6477.3	0.0125411246278849
7157.3	5366.3	0.0588775336917951
7157.3	9538.3	0.0121835699404699
7157.3	1026.3	0.178322800165309
7157.3	900.3	0.101446241557521
7020.3	7422.3	0.0278179406219379
7020.3	3842.3	0.118278591283894
6776.3	598.3	0.205546323850196
6774.3	9021.3	0.216461223511902
6722.3	2353.3	0.0935315108514617
6667.3	7423.3	0.00384020756867831
6667.3	5914.3	0.0232864748876861
6667.3	5663.3	0.00277736113566055
5970.3	7157.3	0.0097776466656552
5970.3	5743.3	0.0362191489948333
5970.3	3383.3	0.0507258464032741
5970.3	6352.3	0.0438575352943207
4609.3	7490.3	0.253480026162313
4609.3	7417.3	0.00334522721119644
4609.3	8615.3	0.00606703540393391
4609.3	7706.3	0.345978207690338
4609.3	10221.3	0.60099037505195
4609.3	7042.3	0.234730926934142
4609.3	6723.3	0.245932488246514
4609.3	6522.3	0.0331671046365564
4609.3	8501.3	0.309188814505884
4609.3	64116.3	0.227735691923971
4609.3	8731.3	0.0271481372666423
4609.3	5792.3	0.0362191489948335
4609.3	5728.3	0.117670233364027
4609.3	10197.3	0.000972585176547998
4609.3	5478.3	0.111856227545698
4609.3	10622.3	0.223916498774228
4609.3	9972.3	0.0435975015598616
4609.3	4893.3	0.272910197460504
4609.3	4831.3	0.0594197549407327
4609.3	4719.3	0.153029039332496
4609.3	4691.3	0.0434654963592282
4609.3	4524.3	0.277359102850415
4609.3	4478.3	0.0963166186131265
4609.3	4144.3	0.039692309274932
4609.3	8570.3	0.205160146428932
4609.3	3313.3	0.06371355680009
4609.3	3178.3	0.00559727082921135
4609.3	2581.3	0.0760743801022489
4609.3	7458.3	0.0649544366715584
4609.3	80344.3	0.018987849116294
4609.3	1185.3	0.195643776199618
4609.3	1019.3	0.17695745076862
4609.3	10574.3	0.0853779658977115
4609.3	595.3	0.182278849318495
4609.3	23468.3	0.0319239516938234
4609.3	790.3	0.175266429088974
4609.3	782.3	0.138927609310049
4609.3	271.3	0.238839732283389
4609.3	8165.3	0.0372293218181923
4149.3	595.3	0.089962956237909
3725.3	6520.3	0.00870321492649568
3725.3	4318.3	0.109530665944915
3725.3	1191.3	0.0955810276702706
