"D1"	"D2"	"X"
148398.2	148398.3	0.0420604155061964
26155.2	26155.3	0.225612512139791
51150.2	51150.3	0.013193861002156
1855.2	1855.3	0.0514149901332991
54587.2	54587.3	0.215649102243649
81669.2	81669.3	0.161720551277869
64856.2	64856.3	0.260394231288452
29101.2	29101.3	0.148109773438031
142678.2	142678.3	0.154308694365242
6497.2	6497.3	0.157409007833735
11079.2	11079.3	0.191433051865879
5192.2	5192.3	0.0311488643218053
127281.2	127281.3	0.441272950276103
63976.2	63976.3	0.271139203392063
127262.2	127262.3	0.0505553451502522
7161.2	7161.3	0.391932612983831
57470.2	57470.3	0.0194055563843836
9731.2	9731.3	0.0277242299080482
1677.2	1677.3	0.0400248158152237
339448.2	339448.3	0.110806309182853
55966.2	55966.3	0.108885484492119
26038.2	26038.3	0.0686534857382871
23463.2	23463.3	0.211714345817499
54626.2	54626.3	0.148092296656613
57449.2	57449.3	0.245082210669192
79707.2	79707.3	0.0574023254691835
9903.2	9903.3	0.140296871983931
148479.2	148479.3	0.299623898891439
9341.2	9341.3	0.0536595702519126
8863.2	8863.3	0.100996727437003
3604.2	3604.3	0.27567752070036
11315.2	11315.3	0.0811527693255576
54206.2	54206.3	0.15046262874145
473.2	473.3	0.0537853222181372
6518.2	6518.3	0.0599469874843267
80045.2	80045.3	0.0886057935323738
9563.2	9563.3	0.0523985353903191
84275.2	84275.3	0.0642846216694474
199953.2	199953.3	0.0144072051219328
5293.2	5293.3	0.186321589341391
22883.2	22883.3	0.00709491731914228
56998.2	56998.3	0.0376175447244684
84328.2	84328.3	0.0684900040729125
64802.2	64802.3	0.318454310170389
10277.2	10277.3	0.397207240518587
23095.2	23095.3	0.143966231081397
5226.2	5226.3	0.12881156779439
1676.2	1676.3	0.248771294443041
5195.2	5195.3	0.0346908077148456
54897.2	54897.3	0.0842550682371324
23435.2	23435.3	0.0858532622908873
6723.2	6723.3	0.280917006718231
5394.2	5394.3	0.343181707989092
2475.2	2475.3	0.136073824844998
10218.2	10218.3	0.00329449677623589
26232.2	26232.3	0.0611001975670488
93611.2	93611.3	0.0530422497243595
57085.2	57085.3	0.371766319370202
4524.2	4524.3	0.0964722377288409
1185.2	1185.3	0.0168725333274051
90231.2	90231.3	0.115711966422856
5351.2	5351.3	0.0921613020736646
9927.2	9927.3	0.0951047793746927
943.2	943.3	0.235880086538258
7133.2	7133.3	0.15281548404487
55187.2	55187.3	0.0273315691005212
10630.2	10630.3	0.40089241265927
7799.2	7799.3	0.0776367879724484
55092.2	55092.3	0.256471722995089
114827.2	114827.3	0.122237650795119
79180.2	79180.3	0.0723425695121367
