V1	TCGA.BC.A10Q.01A.11R.A130.13	TCGA.BC.A10Q.11A.11R.A130.13	TCGA.BC.A10R.01A.11R.A130.13	TCGA.BC.A10R.11A.11R.A130.13	TCGA.BC.A10T.01A.11R.A130.13	TCGA.BC.A10T.11A.11R.A130.13	TCGA.BC.A10U.01A.11R.A130.13	TCGA.BC.A10U.11A.11R.A130.13	TCGA.BC.A10W.01A.11R.A130.13	TCGA.BC.A10W.11A.11R.A130.13	TCGA.BC.A10X.01A.11R.A130.13	TCGA.BC.A10X.11A.11R.A130.13	TCGA.BC.A10Y.01A.11R.A130.13	TCGA.BC.A10Y.11A.11R.A130.13	TCGA.BC.A10Z.01A.11R.A130.13	TCGA.BC.A10Z.11A.11R.A130.13	TCGA.BC.A110.01A.11R.A130.13	TCGA.BC.A110.11A.11R.A130.13	TCGA.BC.A216.01A.11R.A154.13	TCGA.BC.A216.11A.11R.A154.13	TCGA.BD.A2L6.01A.11R.A214.13	TCGA.BD.A2L6.11A.21R.A214.13	TCGA.BD.A3EP.01A.11R.A22J.13	TCGA.BD.A3EP.11A.12R.A22J.13	TCGA.DD.A114.01A.11R.A130.13	TCGA.DD.A114.11A.12R.A130.13	TCGA.DD.A118.01A.11R.A130.13	TCGA.DD.A118.11A.11R.A130.13	TCGA.DD.A119.01A.11R.A130.13	TCGA.DD.A119.11A.11R.A130.13	TCGA.DD.A11A.01A.11R.A130.13	TCGA.DD.A11A.11A.11R.A130.13	TCGA.DD.A11B.01A.11R.A130.13	TCGA.DD.A11B.11A.11R.A130.13	TCGA.DD.A11C.01A.11R.A130.13	TCGA.DD.A11C.11A.11R.A130.13	TCGA.DD.A11D.01A.11R.A130.13	TCGA.DD.A11D.11A.12R.A130.13	TCGA.DD.A1EB.01A.11R.A130.13	TCGA.DD.A1EB.11A.11R.A130.13	TCGA.DD.A1EC.01A.21R.A130.13	TCGA.DD.A1EC.11A.11R.A130.13	TCGA.DD.A1EE.01A.11R.A130.13	TCGA.DD.A1EE.11A.11R.A130.13	TCGA.DD.A1EH.01A.11R.A130.13	TCGA.DD.A1EH.11A.11R.A130.13	TCGA.DD.A1EJ.01A.11R.A154.13	TCGA.DD.A1EJ.11A.11R.A154.13	TCGA.DD.A1EL.01A.11R.A154.13	TCGA.DD.A1EL.11A.11R.A154.13	TCGA.DD.A39V.01A.11R.A214.13	TCGA.DD.A39V.11A.11R.A214.13	TCGA.DD.A39W.01A.11R.A214.13	TCGA.DD.A39W.11A.11R.A214.13	TCGA.DD.A39X.01A.11R.A214.13	TCGA.DD.A39X.11A.11R.A214.13	TCGA.DD.A39Z.01A.11R.A214.13	TCGA.DD.A39Z.11A.21R.A214.13	TCGA.DD.A3A1.01A.11R.A214.13	TCGA.DD.A3A1.11A.11R.A214.13	TCGA.DD.A3A2.01A.11R.A214.13	TCGA.DD.A3A2.11A.11R.A214.13	TCGA.DD.A3A3.01A.11R.A22J.13	TCGA.DD.A3A3.11A.11R.A22J.13	TCGA.EP.A12J.01A.11R.A130.13	TCGA.EP.A12J.11A.11R.A130.13	TCGA.EP.A26S.01A.11R.A16S.13	TCGA.EP.A26S.11A.12R.A16S.13	TCGA.ES.A2HT.01A.12R.A17X.13	TCGA.ES.A2HT.11A.11R.A17X.13	TCGA.FV.A23B.01A.11R.A16S.13	TCGA.FV.A23B.11A.11R.A16S.13	TCGA.FV.A2QR.01A.11R.A214.13	TCGA.FV.A2QR.11A.11R.A214.13
hsa-mir-1-2	 5.8869830	 4.6156207	 6.542521	 3.400406	 7.850335	 5.2376560	 4.957558	 5.8752053	 5.175019	 4.2042490	 6.4863132	 6.4872184	 5.040346	 6.459833	 3.651432	 5.8316536	 7.8840891	 3.6556566	 4.118860	 5.885179	 4.592742	 4.5296572	 6.1199807	 4.592875	 7.7008889	 5.3007530	 5.423343	 5.3214628	 6.972728	 4.665979	 8.484406	 5.8015206	 4.725550	 7.2722113	 6.294262	 4.741891	 5.028315	 4.3592224	 4.256807	 4.5547180	 4.356984	 5.7739420	 3.676688	 6.3265583	 4.771971	 5.6735172	 2.2345103	 6.6711990	 4.274812	 6.598536	 4.773485	 4.7809732	 2.2743777	 4.9446113	 6.176341	 5.0726265	 3.245653	 4.979311	 1.094159	 4.9947590	 4.144367	 5.161192	 4.827650	 5.4237218	 4.167406	 6.0970885	 5.269741	 5.4848432	 4.509008	 6.443049	 2.826789	 6.2145648	 5.0334373	 5.6182328
hsa-mir-100	14.0697729	15.3046054	13.719476	15.390008	16.490412	14.7593507	14.992114	15.1846610	10.805867	14.8826068	15.5208398	14.5286186	15.636486	15.148190	13.305076	15.0116037	15.9512409	15.1946864	 9.052070	15.280664	14.850746	15.1621099	14.4368036	15.046048	15.8045507	15.3862183	14.727539	15.7244030	14.938006	15.326528	14.025281	14.4557577	17.528155	15.9840337	15.814348	14.878212	15.353266	14.9330772	16.871646	15.5168375	12.661696	14.5516066	16.637069	15.4940148	14.931031	15.1858929	12.6146183	13.9658288	10.054514	15.510474	14.680463	15.2457486	15.4316351	14.8518806	14.764223	14.8649912	14.835258	14.716727	12.783826	14.6216311	17.075465	15.357689	10.909594	14.1803030	16.193309	16.3294675	17.825842	14.3751621	14.885706	15.865226	15.597832	15.7634341	14.7424087	15.4219358
hsa-mir-101-1	15.9634372	17.9737761	16.855197	17.890848	16.774056	18.0704981	16.588686	17.6544767	16.320469	16.8801636	16.9414017	17.2951443	17.202486	17.889721	17.439460	17.6649663	17.2357881	18.3331407	15.932744	17.486705	15.896240	16.1297398	15.7705004	17.883397	15.9140430	17.3110060	16.167593	18.2147252	16.457886	17.343006	17.003180	17.3808622	17.435588	17.5817694	18.532937	17.963400	17.269800	17.2809903	17.858582	18.0222778	16.476786	17.6218536	16.833105	17.4696937	16.368870	17.9927484	15.7899175	17.4367518	14.372190	17.123413	17.170536	17.8567330	17.2860854	17.6229133	16.072323	18.2137598	17.262291	17.077888	16.496154	17.0712096	17.242908	17.817853	16.686739	17.9413107	18.440394	17.8057109	17.816302	17.5227908	16.492261	17.567777	16.741608	17.3194114	16.9677034	17.2735161
hsa-mir-101-2	 8.7862327	 9.1786166	 8.241480	 9.180599	 9.109044	 9.4313887	 8.374151	 9.4737214	 7.511684	 9.0227212	 8.7018689	 9.5047061	 9.579809	 9.998212	10.361557	 9.8637887	 9.7932712	 9.8577445	 7.414373	 9.967612	 7.127000	 9.0684060	 8.3300854	10.209229	 8.9697394	 8.1301325	 8.518279	10.3429865	 9.094767	 9.320751	 9.474841	 9.3722233	10.099219	 9.0504981	10.708041	 9.250027	 8.759338	 9.1310359	 9.171517	 9.6763283	 8.103840	 9.3723198	 9.316366	 9.6484647	 8.274940	 9.9160710	 8.0751429	 9.7421379	 8.110409	 9.689656	 8.531008	 9.7925422	 9.1555441	10.1067209	 6.993589	10.4921955	 8.459711	 9.696297	 8.785732	 9.1557633	 8.131630	10.116126	 8.663571	 9.6194058	 9.227685	 8.8179721	 9.813400	10.0615918	 7.656495	 8.623514	 8.849146	 9.5560048	 7.4216367	 9.4172818
hsa-mir-103a-1	17.0700829	15.7692031	15.974182	16.103139	17.227589	15.4829339	17.038692	15.7884284	16.231915	15.9402317	16.1443770	16.0203401	17.794043	16.097459	18.044623	15.2976354	16.6521179	15.9424242	15.920173	16.238833	16.543050	16.8875294	17.6042043	16.630960	16.6526902	15.3525911	17.991598	16.3932652	17.811373	16.064421	16.558933	16.3359234	17.080357	15.4506854	17.443356	15.845449	15.825791	15.7660741	15.739699	16.0331297	16.819865	16.0376902	17.438518	16.0462521	17.366865	16.0871956	15.7916152	16.0416938	17.428073	16.108168	17.295479	16.7100697	16.8732165	16.5153134	16.303244	16.4851013	16.795739	16.773435	16.689689	15.9948651	17.124214	16.544466	17.516126	15.6298330	17.082867	15.5107989	16.452271	15.8903115	16.278614	16.112374	17.338182	16.2224860	16.9536502	16.3897477
hsa-mir-103a-2	 5.2630338	 4.9145256	 4.188782	 5.459945	 4.812916	 5.1908573	 4.957558	 5.2858418	 5.507624	 4.9095638	 5.8043042	 4.8673355	 5.444381	 5.054471	 6.137398	 5.4175606	 4.6574402	 5.7611720	 4.675874	 3.973595	 5.486226	 5.9911644	 5.9807586	 5.061119	 5.1025815	 5.2286775	 6.524383	 5.0219053	 5.896355	 4.786766	 4.888572	 5.0358109	 5.896028	 4.6732818	 5.771894	 4.916106	 5.028315	 5.3236403	 5.583166	 4.8845615	 5.770904	 5.1019093	 6.262626	 5.2391226	 5.247645	 5.0538343	 4.9806991	 4.9150552	 6.125985	 4.922978	 6.114185	 5.1269600	 5.5562660	 5.5138724	 5.633079	 4.7800324	 5.606688	 5.327668	 6.062281	 5.4252751	 5.990155	 4.773499	 6.789034	 5.0881147	 6.229680	 4.8557113	 5.435505	 4.7195890	 5.476974	 4.637532	 5.545721	 4.6558398	 5.4466625	 5.4710400
hsa-mir-105-1	 0.0000000	 0.0000000	 7.302457	 0.000000	 7.913491	 1.1403048	 5.722226	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 8.584551	 0.000000	 8.795573	 0.0000000	 4.7367229	 0.0000000	 0.000000	 1.978915	 8.713457	 0.0000000	 8.5465571	 0.000000	 0.8588675	 0.0000000	 0.000000	 0.0000000	 1.167377	 0.000000	 3.608775	 0.9133788	 1.184486	 0.0000000	 9.548792	 0.000000	 4.071859	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 1.424364	 0.0000000	 0.775173	 0.0000000	 8.1286580	 0.0000000	 9.485704	 1.089717	 7.438582	 0.0000000	 1.1885885	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 3.626306	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 1.346304	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 7.028097	 0.0000000	 8.6482541	 0.0000000
hsa-mir-105-2	 0.0000000	 0.0000000	 7.221458	 0.000000	 7.897960	 0.0000000	 5.934154	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 8.490169	 0.000000	 8.650866	 0.0000000	 4.6574402	 0.0000000	 3.003141	 2.225724	 8.658015	 0.0000000	 8.3664992	 0.000000	 0.4924244	 0.0000000	 1.289997	 0.0000000	 1.167377	 0.000000	 3.993942	 0.0000000	 0.000000	 0.0000000	 9.560227	 0.000000	 4.596843	 0.0000000	 0.000000	 0.0000000	 1.780937	 0.0000000	 0.000000	 0.0000000	 1.648091	 0.0000000	 8.2121600	 0.8386577	 9.553357	 1.089717	 7.468160	 0.0000000	 0.0000000	 0.0000000	 1.390079	 0.0000000	 0.000000	 0.000000	 3.626306	 0.0000000	 0.000000	 0.000000	 1.384917	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.8222025	 0.000000	 0.000000	 7.093943	 0.0000000	 8.5615791	 0.0000000
hsa-mir-106a	 5.0623514	 6.1608076	 5.148676	 5.459945	 4.043551	 5.7383895	 4.276313	 5.7534207	 7.248379	 5.8615275	 5.9689289	 5.2280270	 5.759668	 4.868014	 6.056141	 5.6648917	 4.4535127	 5.9952782	 6.867745	 4.780188	 6.256937	 6.0854661	 6.2981105	 5.934119	 6.5382027	 5.4770129	 5.562207	 5.6361570	 5.557751	 5.637280	 5.701020	 5.5796305	 5.426373	 5.3707879	 6.294262	 5.761097	 5.534262	 5.7041424	 4.432147	 5.4531514	 5.133846	 5.8337343	 5.372084	 4.6261728	 5.625705	 5.6735172	 7.0505457	 5.6174016	 6.385573	 5.755721	 6.063412	 5.8814844	 7.2414334	 6.1612116	 6.797314	 5.7769439	 6.405817	 6.323769	 6.555519	 5.8779514	 4.449886	 6.140891	 7.174223	 6.1001975	 3.737773	 5.7017483	 5.435505	 5.7953338	 4.908117	 4.966315	 6.212164	 5.1457422	 5.1398350	 5.8503896
hsa-mir-106b	12.0562247	11.0822728	11.208694	10.635416	11.210510	10.7207473	12.039990	10.7145124	11.746705	10.7883524	10.8664893	10.6093207	11.546505	10.562860	12.689360	10.7714234	10.9683792	10.7293817	12.602068	10.463189	11.884046	10.8133652	11.6533049	10.444544	11.3546919	11.2021077	11.984972	10.5301733	11.434205	10.552541	11.970908	10.7682255	11.764190	10.7589916	12.227570	10.701270	11.560315	10.8293246	11.176842	10.6019509	11.514117	10.5233269	11.652419	10.5400411	11.510978	10.6471045	11.8191621	10.4845288	10.265550	10.522783	11.871726	10.8084754	11.7513032	10.7233832	10.861247	10.3315367	11.723783	10.804955	11.413097	10.5757213	12.215509	10.350807	12.023086	10.6667261	11.479179	10.9372615	11.458776	10.4814684	10.606130	11.159955	11.387047	10.4759426	11.5429639	10.8570506
