V1	TCGA.BC.A10Q.01A.11R.A130.13	TCGA.BC.A10Q.11A.11R.A130.13	TCGA.BC.A10R.01A.11R.A130.13	TCGA.BC.A10R.11A.11R.A130.13	TCGA.BC.A10T.01A.11R.A130.13	TCGA.BC.A10T.11A.11R.A130.13	TCGA.BC.A10U.01A.11R.A130.13	TCGA.BC.A10U.11A.11R.A130.13	TCGA.BC.A10W.01A.11R.A130.13	TCGA.BC.A10W.11A.11R.A130.13	TCGA.BC.A10X.01A.11R.A130.13	TCGA.BC.A10X.11A.11R.A130.13	TCGA.BC.A10Y.01A.11R.A130.13	TCGA.BC.A10Y.11A.11R.A130.13	TCGA.BC.A10Z.01A.11R.A130.13	TCGA.BC.A10Z.11A.11R.A130.13	TCGA.BC.A110.01A.11R.A130.13	TCGA.BC.A110.11A.11R.A130.13	TCGA.BC.A216.01A.11R.A154.13	TCGA.BC.A216.11A.11R.A154.13	TCGA.BD.A2L6.01A.11R.A214.13	TCGA.BD.A2L6.11A.21R.A214.13	TCGA.BD.A3EP.01A.11R.A22J.13	TCGA.BD.A3EP.11A.12R.A22J.13	TCGA.DD.A114.01A.11R.A130.13	TCGA.DD.A114.11A.12R.A130.13	TCGA.DD.A118.01A.11R.A130.13	TCGA.DD.A118.11A.11R.A130.13	TCGA.DD.A119.01A.11R.A130.13	TCGA.DD.A119.11A.11R.A130.13	TCGA.DD.A11A.01A.11R.A130.13	TCGA.DD.A11A.11A.11R.A130.13	TCGA.DD.A11B.01A.11R.A130.13	TCGA.DD.A11B.11A.11R.A130.13	TCGA.DD.A11C.01A.11R.A130.13	TCGA.DD.A11C.11A.11R.A130.13	TCGA.DD.A11D.01A.11R.A130.13	TCGA.DD.A11D.11A.12R.A130.13	TCGA.DD.A1EB.01A.11R.A130.13	TCGA.DD.A1EB.11A.11R.A130.13	TCGA.DD.A1EC.01A.21R.A130.13	TCGA.DD.A1EC.11A.11R.A130.13	TCGA.DD.A1EE.01A.11R.A130.13	TCGA.DD.A1EE.11A.11R.A130.13	TCGA.DD.A1EH.01A.11R.A130.13	TCGA.DD.A1EH.11A.11R.A130.13	TCGA.DD.A1EJ.01A.11R.A154.13	TCGA.DD.A1EJ.11A.11R.A154.13	TCGA.DD.A1EL.01A.11R.A154.13	TCGA.DD.A1EL.11A.11R.A154.13	TCGA.DD.A39V.01A.11R.A214.13	TCGA.DD.A39V.11A.11R.A214.13	TCGA.DD.A39W.01A.11R.A214.13	TCGA.DD.A39W.11A.11R.A214.13	TCGA.DD.A39X.01A.11R.A214.13	TCGA.DD.A39X.11A.11R.A214.13	TCGA.DD.A39Z.01A.11R.A214.13	TCGA.DD.A39Z.11A.21R.A214.13	TCGA.DD.A3A1.01A.11R.A214.13	TCGA.DD.A3A1.11A.11R.A214.13	TCGA.DD.A3A2.01A.11R.A214.13	TCGA.DD.A3A2.11A.11R.A214.13	TCGA.DD.A3A3.01A.11R.A22J.13	TCGA.DD.A3A3.11A.11R.A22J.13	TCGA.EP.A12J.01A.11R.A130.13	TCGA.EP.A12J.11A.11R.A130.13	TCGA.EP.A26S.01A.11R.A16S.13	TCGA.EP.A26S.11A.12R.A16S.13	TCGA.ES.A2HT.01A.12R.A17X.13	TCGA.ES.A2HT.11A.11R.A17X.13	TCGA.FV.A23B.01A.11R.A16S.13	TCGA.FV.A23B.11A.11R.A16S.13	TCGA.FV.A2QR.01A.11R.A214.13	TCGA.FV.A2QR.11A.11R.A214.13
hsa-mir-151a	14.3679353	13.4015381	14.759198	13.501115	14.485393	13.3618855	14.293901	13.0857220	15.226568	13.2776187	13.5072398	13.0499861	14.742552	13.350156	14.357485	13.1671526	13.5587199	13.2878753	13.181242	13.636878	13.773828	13.1319908	13.4266658	12.820191	13.6359899	13.3783388	14.780584	13.6333411	15.208259	13.475686	15.290767	13.2253175	14.233805	13.4292303	14.846833	13.262501	13.905945	13.0442824	14.552815	13.4965731	13.937182	13.3540984	15.494200	13.3752493	14.392150	13.2560916	14.1405487	13.5920706	15.601263	13.640498	14.787906	12.9435389	13.5503815	12.7491080	14.799832	12.9952228	13.960184	13.537534	13.293174	12.7056010	13.624175	13.201634	15.549583	12.5964729	15.961370	13.7483245	14.369765	13.0924818	13.934375	13.303486	14.223660	13.3976254	13.4646672	12.7734929
hsa-mir-151b	 3.6594167	 4.5004346	 4.045543	 4.795211	 3.501682	 4.2976518	 3.225494	 4.1674857	 4.019866	 4.4154171	 4.6716152	 4.6463504	 5.759668	 4.606897	 2.279552	 4.6930513	 3.8857249	 4.5135100	 4.018318	 3.674445	 4.439294	 4.5674965	 4.2690352	 4.592875	 2.7431483	 4.8665424	 5.562207	 4.4589761	 4.624954	 3.721717	 5.163642	 4.2225750	 3.638702	 4.5002290	 4.798059	 4.040429	 5.203677	 5.6517470	 5.724687	 5.0370415	 3.720548	 4.8238541	 5.044187	 4.3652740	 3.544848	 4.1252420	 2.7134856	 3.9981344	 3.640779	 3.479607	 5.059140	 3.8325171	 3.0065009	 3.9177459	 6.208319	 3.6406643	 4.666443	 4.659860	 3.869736	 3.6868867	 0.000000	 5.073593	 4.827650	 4.6195541	 7.095384	 5.2037717	 4.787558	 4.4922947	 4.786948	 4.330022	 4.379103	 4.6189116	 3.6664713	 3.5212444
hsa-mir-152	 9.7291670	11.6034533	11.093355	11.502915	12.223896	11.8855554	11.689973	11.9610219	11.907927	11.6102950	11.7972657	11.5577978	11.753038	11.408809	12.103243	11.2666341	11.9208795	12.0687891	11.105454	11.755335	10.700360	10.3657504	11.3899507	11.144217	12.0842917	11.5171531	10.123226	11.7946494	10.972693	11.426379	12.444040	11.4866173	12.897767	11.6811796	12.152122	11.971469	11.889083	11.4756061	13.326179	11.6679657	10.154894	11.2317479	11.481984	11.4463210	11.721039	11.3094133	 9.1379901	11.4388525	 9.951290	11.517303	10.686408	10.8862603	11.2305483	10.7900632	10.783776	10.7688468	10.823809	10.852785	10.904399	10.7106868	12.071950	10.445448	11.236922	10.7106986	12.718335	11.4415170	11.863416	11.3156014	11.174269	10.954141	11.672121	11.3504206	11.7426012	10.5656568
hsa-mir-153-1	 2.3661274	 2.2517117	 0.000000	 2.270114	 3.128488	 2.0038503	 0.000000	 2.3427544	 3.004586	 2.2851314	 2.3845112	 3.2157995	 1.333084	 2.330246	 3.857329	 2.6619053	 3.6328980	 2.6915512	 1.739479	 1.680987	 0.000000	 2.0247028	 1.9038111	 1.346039	 1.6012378	 2.7575734	 1.289997	 1.3216418	 2.244306	 2.112835	 1.802741	 2.4375626	 1.184486	 2.4131071	 3.691542	 2.620955	 3.655263	 2.2384229	 0.866721	 2.4304604	 3.580654	 3.0719979	 2.951559	 2.9139279	 1.943202	 2.9735386	 0.9459877	 2.3050737	 1.720135	 1.089717	 1.763617	 2.1082164	 4.8651528	 1.3607258	 0.000000	 2.4362823	 1.642128	 0.834460	 0.000000	 2.5239078	 0.000000	 2.057301	 1.384917	 3.5211850	 0.000000	 3.3385056	 2.046692	 2.8368987	 4.786948	 2.065373	 2.826789	 2.8817947	 0.8762005	 3.0261813
hsa-mir-153-2	 5.9071037	 5.8673468	 4.045543	 5.608666	 5.446206	 6.4645048	 2.941621	 5.9244078	 6.434237	 5.4143526	 6.3436162	 6.1923870	 4.745770	 7.039322	 6.633858	 6.0600565	 6.4032627	 6.2363690	 5.613310	 5.830289	 4.173366	 4.6403217	 5.5168367	 5.697395	 5.3953202	 6.0787335	 5.097668	 5.4257987	 6.421729	 5.700150	 5.593583	 5.8015206	 2.606750	 6.4751838	 5.514131	 6.157949	 7.397987	 6.1816409	 4.317652	 5.7015867	 7.806962	 5.8454011	 5.905415	 6.4258747	 4.914909	 5.9543354	 3.5990902	 5.5940446	 4.274812	 6.237819	 5.297475	 5.3483369	 8.4443067	 4.8692092	 6.329582	 4.9949039	 5.755728	 5.148134	 3.333293	 4.3223259	 3.756271	 5.359411	 3.954580	 5.6209651	 3.560495	 7.2566914	 4.867115	 6.2385195	 8.590917	 6.663071	 4.904529	 7.1082034	 5.4187548	 6.1407647
hsa-mir-1537	 0.0000000	 1.5266887	 1.842184	 1.951480	 1.840655	 1.4887277	 0.000000	 0.0000000	 1.118301	 0.0000000	 1.4268916	 0.8711165	 2.474623	 0.852624	 1.549736	 1.4731259	 0.5609356	 1.8991904	 1.117411	 0.000000	 2.217872	 0.6904762	 0.9365918	 2.030076	 1.3935414	 1.1893963	 0.000000	 1.3216418	 1.167377	 0.000000	 2.852411	 1.4682720	 0.000000	 0.0000000	 0.000000	 2.148733	 2.383469	 1.5157148	 1.404373	 1.4040831	 1.149419	 2.2340983	 2.597384	 0.0000000	 0.775173	 1.9037485	 0.0000000	 1.3655642	 2.978931	 1.089717	 1.763617	 2.1082164	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.834460	 0.000000	 0.8414873	 0.000000	 1.038452	 1.384917	 1.3629805	 0.000000	 1.1475732	 0.000000	 2.0258838	 0.000000	 2.065373	 1.335559	 2.0653422	 0.0000000	 1.2805413
hsa-mir-1538	 1.4126306	 0.0000000	 0.000000	 1.541914	 0.000000	 0.0000000	 0.000000	 0.7474163	 0.000000	 1.9655308	 0.8830999	 0.0000000	 0.000000	 1.384914	 0.000000	 0.0000000	 0.5609356	 1.6076397	 2.172718	 0.000000	 1.148841	 0.6904762	 0.0000000	 1.346039	 1.1508333	 2.0708813	 1.289997	 0.0000000	 0.000000	 1.076195	 0.000000	 0.0000000	 2.268576	 0.7832753	 0.000000	 0.000000	 0.000000	 0.0000000	 1.795161	 0.0000000	 1.780937	 0.0000000	 0.000000	 0.0000000	 1.276670	 0.0000000	 0.9459877	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.7133863	 0.0000000	 2.084697	 0.0000000	 2.390260	 0.000000	 1.094159	 0.0000000	 4.144367	 0.000000	 1.384917	 0.0000000	 1.346304	 1.1475732	 2.510295	 0.0000000	 3.045509	 0.000000	 1.335559	 1.1853166	 0.0000000	 0.5621166
hsa-mir-1539	 0.0000000	 0.0000000	 0.000000	 0.000000	 1.195891	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.8071504	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 1.442116	 0.000000	 0.0000000	 0.000000	 0.6311805	 0.000000	 0.5490143	 0.000000	 0.8616253	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 1.763617	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.9126425	 0.000000	 0.834460	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 2.017019	 0.0000000	 0.0000000	 0.5621166
hsa-mir-154	 4.2693651	 5.2714539	 4.118940	 5.106709	 5.402846	 5.3904399	 5.418430	 5.4290999	 3.911781	 5.5695221	 5.7823397	 5.2280270	 3.540504	 5.250431	 1.549736	 5.7145368	 5.9830974	 5.3428943	 4.118860	 5.972262	 3.053830	 5.3099915	 5.4580559	 5.305726	 4.9012675	 5.0999220	 0.000000	 4.8068948	 4.104202	 4.950872	 2.242827	 5.5253180	 4.328576	 5.0002004	 1.992775	 5.211830	 3.067178	 5.2194935	 4.057169	 5.0844856	 3.252131	 5.7861004	 3.676688	 4.5274002	 5.837949	 5.6342358	 6.1767430	 5.7072225	 2.978931	 5.213594	 4.495653	 4.9833178	 7.5675471	 5.9022033	 4.234978	 5.6559088	 2.390260	 5.584703	 3.869736	 5.9900431	 3.223726	 5.689106	 4.653836	 6.3243078	 2.030406	 4.7618862	 4.416519	 5.0886690	 5.823552	 5.510832	 6.941325	 4.9214867	 4.3959428	 6.5892652
hsa-mir-155	 9.7640601	 8.4855684	 9.494854	 8.703273	10.020778	 9.1924747	 9.722288	 9.1353350	 9.863992	10.0857544	 9.9272931	 9.1853304	 9.506360	 9.718082	 8.018496	10.0001509	10.4034834	 8.8271404	11.957239	 9.292098	 9.370741	11.8753426	11.7095090	10.194115	12.0761596	11.1235510	 9.141233	 8.9624198	 9.869629	 9.211699	 8.308707	 9.8423859	 8.585414	10.3723631	 9.298713	 8.849271	 9.527630	10.6296145	 9.458319	 9.4056913	12.067730	 9.4584087	 8.997858	11.0618269	 8.925322	 9.7843349	 9.6713641	 9.0858951	 9.438773	 9.753282	11.817701	 8.6107977	 8.6046142	 8.4313199	 9.608564	 8.8994923	 9.041856	 8.862425	10.228144	10.5246744	 8.274508	 9.510427	 8.953474	 9.6703995	 8.600628	10.2280894	 9.561689	 9.6791246	10.057002	10.751806	10.007756	10.8728669	10.1756054	10.4926369
hsa-mir-15a	 9.9824670	 9.3148288	 8.433529	 9.166268	 8.121718	 9.1969222	10.101503	 9.1765344	 9.359113	 9.6013725	 9.3260912	 9.2358002	10.104665	 9.432019	10.249514	 9.2761601	 8.9602509	 9.2424678	10.522732	 9.449110	 9.709642	 9.9951290	 9.9498784	 9.890890	 9.7257953	 9.0873646	 9.130112	 9.7447775	 9.643325	 9.348000	 9.536577	 9.6303991	 9.266258	 9.3084926	 8.056484	 9.122491	 9.974292	 9.3646365	 8.989492	 9.3594289	 9.884385	 9.2448778	 9.882671	 9.4283285	 9.046729	 9.5285624	 8.8237990	 9.4156433	10.608604	 9.743820	10.883132	 9.8519094	10.0922288	 9.8661372	 8.514553	10.0653634	10.655671	 9.709853	10.879411	 9.9009077	 9.202390	 9.569659	10.971115	10.0255468	10.186935	 8.9830008	 9.687559	 9.5146472	 9.495456	 9.356681	 9.510456	 9.3837228	 9.7813314	10.2036178
hsa-mir-15b	11.9447587	10.2932934	 9.565476	 9.955981	10.728936	 9.9044830	10.655719	 9.9463125	11.421067	10.4316468	10.0632964	10.1933145	11.964167	 9.746780	11.950012	 9.9749091	 9.8903783	10.4792193	12.616918	 9.771536	11.438456	10.7002904	10.6368750	 9.615452	10.8373106	10.1435180	 8.787280	10.0163316	 9.696290	 9.660127	10.611008	10.2029084	 9.154698	 9.6214066	11.568734	10.160689	10.595127	10.1941354	10.114557	 9.8966702	10.631121	10.2287332	11.071073	10.0519909	10.096881	 9.9850237	 9.0798948	 9.5627637	10.597963	 9.574817	10.464686	 9.7529467	10.4471584	 9.7527064	 9.450429	 9.8282676	11.363337	 9.793718	11.173276	 9.5217732	 8.993957	 9.573656	10.342422	10.0226424	10.430540	 9.9962419	10.140021	 9.8340577	 8.516637	 9.031795	 9.926506	 9.7992522	10.2936301	 9.7798298
hsa-mir-16-1	12.0545344	11.5505992	 9.975516	11.611355	10.532960	11.6932928	11.363039	11.7207716	11.989538	11.7903134	11.5649240	11.8707946	12.361172	11.576917	12.226163	12.0236121	10.8718005	11.9181724	13.660982	11.436118	11.378371	11.6697302	11.0931199	10.722496	11.3434427	11.9623991	10.461627	11.8760399	11.109969	11.342649	11.138676	11.7277872	 9.750589	11.5668472	11.219782	11.722258	12.133484	11.8817763	11.572478	11.6349846	12.060753	11.6143252	11.238286	11.3850532	10.305092	11.6933885	10.7687524	11.4531215	12.031523	11.580857	11.476962	10.9431785	12.1190948	11.3509164	10.211766	10.8511008	11.565682	10.705612	11.958931	11.0418210	10.427758	10.644764	11.291740	11.3508476	12.143352	11.8576066	12.212771	11.4590883	10.874969	10.813116	11.325849	11.5268013	11.1765447	11.1189667
hsa-mir-16-2	 6.7687719	 5.0841349	 4.961829	 5.294111	 5.264350	 5.0667543	 5.360941	 5.0695997	 5.027446	 5.0426970	 5.4614314	 6.0907541	 6.786561	 5.188022	 7.066163	 5.7625303	 4.5444608	 5.7970327	 7.057036	 5.152511	 6.409350	 5.6468909	 4.5195439	 4.845911	 5.6385617	 5.8416011	 4.592422	 5.0869997	 4.471351	 4.950872	 3.876619	 5.4398116	 4.133130	 4.9336849	 6.119780	 5.617103	 5.598466	 5.8965443	 4.937650	 5.0609585	 6.138323	 5.6596440	 5.429584	 4.9267125	 5.044953	 5.1955028	 5.6992714	 5.2795641	 5.922709	 4.752290	 5.159246	 5.2260218	 6.9065848	 5.6552521	 5.130911	 5.3157682	 5.509266	 4.519121	 6.202274	 5.3432238	 5.268242	 5.359411	 5.996641	 6.3978799	 5.609418	 5.5602732	 5.382338	 5.9103476	 4.509008	 5.233901	 5.842429	 5.4904927	 5.4740406	 5.4864537
hsa-mir-17	11.5304513	11.5968967	11.872678	11.355974	10.380646	11.3604806	11.190206	11.4358980	12.693416	11.6834902	11.2169478	11.2439021	12.309856	11.584129	12.747942	10.9497840	11.0637089	11.4585626	12.918130	11.331715	12.457997	12.0556894	12.9734075	12.643700	10.7490147	10.9625291	12.609727	11.8313250	12.510188	11.221974	12.917422	11.5082187	12.657733	11.3524556	12.374065	11.225668	11.067302	11.5274161	10.196828	11.6027601	11.281858	11.0353340	11.939579	11.5343994	12.154023	11.6277162	13.3232093	11.4990359	13.562816	11.891808	12.893501	12.4164707	12.3692949	12.4542523	14.228887	12.7144954	12.262322	12.325434	12.759948	11.8729171	11.431597	12.180160	13.796111	11.8349167	11.119868	11.2053807	10.902671	11.5841828	11.710388	11.986989	13.168577	11.2562447	11.8797467	11.9105045
hsa-mir-181a-1	13.5387763	11.3950260	13.050400	11.439778	11.926649	11.5248642	10.741282	11.5594695	11.882203	11.8422308	12.1334173	11.7530588	11.667346	12.083793	 9.864260	11.8567660	12.1879132	11.2085867	11.154393	11.706006	12.375789	13.1205019	12.4982794	12.369613	12.6938903	11.8770550	13.541295	11.4782926	12.173299	11.594567	11.781441	12.0138645	11.418682	11.6833952	12.761643	11.657014	11.378563	11.5883607	11.017477	11.7144170	12.629052	11.7397644	14.091374	12.2208585	13.326447	11.6460376	10.8614749	11.4891780	11.300836	12.114819	13.029500	12.3111212	11.9011750	12.3515062	12.177923	11.5463531	12.810913	12.689482	12.177919	11.9805879	12.215509	12.358980	12.412391	12.3563503	11.315054	11.8476498	14.209088	11.4535673	12.807331	12.776943	12.095780	12.0756423	12.4712839	12.8379045
hsa-mir-181a-2	14.5926573	11.6552810	13.726831	11.149284	12.394436	11.5180676	10.142596	11.6982563	10.804923	11.5519233	11.9537733	11.6327859	12.081093	11.526185	 8.977603	11.7331222	12.3310416	11.7143794	11.463703	11.298398	13.895332	12.2196940	12.1211866	11.947220	11.9505602	11.9693267	12.985822	11.1681951	11.563963	11.011904	10.160647	11.4202671	11.388862	11.9654710	12.561402	11.666191	12.367105	11.0471736	10.236760	11.4119623	10.718204	11.0334228	 9.885242	11.4813759	14.198798	11.1383412	11.6317960	10.6272719	10.473099	11.616547	10.983837	12.0256415	10.1949979	11.6480975	11.631704	11.2496518	13.444388	11.745556	11.892872	11.2204945	11.072285	11.994378	10.637739	11.8291102	10.577593	11.6004497	12.288326	11.0273312	10.861902	11.810158	13.596234	11.9320270	11.7113082	12.4549011
hsa-mir-181b-1	11.3442312	 8.7945182	11.873341	 8.895072	 9.969689	 9.1954412	 8.260850	 9.1440158	 9.975580	 9.2781093	 9.8905486	 9.2671982	 9.616574	 9.452075	 7.295893	 9.3368608	10.1010510	 8.8507929	 9.117325	 9.090810	10.106834	10.1173567	 9.8519697	 9.700803	10.4339299	 9.8075490	11.818880	 9.0649398	10.225435	 9.200870	 9.209687	 9.3722233	 9.448133	 9.6041348	10.361053	 9.153274	 9.809453	 9.1190249	 8.680487	 9.2737597	10.372031	 9.0468994	11.473466	 9.6469951	11.619991	 8.9196071	 8.4713737	 8.9681955	 9.014861	 9.593901	10.267112	 9.4143838	 8.8583083	 9.4996747	 9.783268	 8.4819048	10.079193	 9.843761	 9.396577	 9.3256298	 9.028936	 9.361190	 9.769604	 9.5595469	 9.115806	 9.8810255	10.616475	 8.7468555	10.569857	10.041360	 9.962204	 9.6911121	10.1051221	10.0138924
hsa-mir-181b-2	 6.2908170	 4.1643953	 5.789103	 3.747037	 4.043551	 3.6369865	 2.587858	 3.7244435	 4.019866	 4.1263833	 3.4766419	 3.7480499	 3.103839	 3.415406	 2.279552	 3.5431699	 3.8857249	 3.8728475	 3.003141	 3.497852	 4.857941	 4.6043685	 4.1989675	 5.061119	 3.4280577	 4.2904471	 5.035451	 3.5231263	 4.299425	 2.935613	 0.000000	 4.7815456	 1.826050	 4.3552917	 3.691542	 4.040429	 4.320525	 2.4978708	 3.207133	 3.8249677	 3.425723	 3.8038882	 4.287145	 3.7286022	 5.540068	 3.9443590	 4.6489941	 3.0171146	 1.720135	 3.479607	 3.403531	 4.7368613	 3.5697365	 4.0601714	 3.962398	 3.9183715	 5.368206	 4.058645	 4.634163	 4.3223259	 3.223726	 3.654693	 3.954580	 4.1932800	 2.842053	 3.7174398	 4.787558	 3.2401822	 4.164428	 4.210998	 5.344014	 4.1345272	 4.3375186	 4.9769023
hsa-mir-181c	 8.8909730	 6.5564489	 7.213103	 6.395124	 7.308206	 6.4446956	 6.708497	 7.0738243	 6.764525	 6.8246211	 7.8601404	 7.0443319	 6.427719	 6.938676	 4.703724	 7.5091829	 8.1772298	 6.7660187	 5.578423	 6.162032	 6.547189	 7.8022024	 8.0556099	 7.348054	 8.3344268	 7.5295260	 7.971732	 6.7068865	 7.582275	 7.202788	 5.768442	 7.6358496	 5.509343	 7.3443983	 6.294262	 6.700876	 6.719636	 6.5541320	 5.913918	 6.4904217	 8.283795	 7.2994184	 5.733430	 7.0414781	 7.089213	 6.7262242	 4.6489941	 6.2002897	 6.385573	 7.127053	 7.859001	 7.2369610	 6.1177440	 7.0607836	 7.669708	 6.7637279	 6.607586	 7.256810	 5.702376	 7.2503195	 6.659691	 7.235260	 7.355513	 7.0784996	 5.563097	 7.4595868	 6.337269	 6.4811030	 7.804318	 8.502017	 5.880241	 7.0880789	 8.0178121	 7.7855239
hsa-mir-181d	 6.9249439	 4.0866582	 5.282477	 3.939090	 5.312008	 4.4643302	 4.276313	 3.9939678	 5.078333	 4.5995862	 5.3463789	 3.9159342	 4.477139	 4.827646	 3.122762	 4.8787078	 6.0152529	 4.6373687	 4.118860	 4.277038	 4.592742	 5.4783552	 5.6007476	 5.248352	 6.4129348	 4.8017812	 6.792348	 4.7677247	 6.093510	 3.130812	 4.102437	 4.8271582	 4.024488	 4.4052396	 4.634602	 4.040429	 4.532565	 3.4888654	 3.549137	 4.4499316	 5.600258	 4.5087473	 3.676688	 4.8470379	 5.686754	 4.1808250	 1.5124872	 4.5767142	 4.274812	 5.169044	 5.382778	 4.7809732	 3.3154321	 3.9177459	 4.661860	 4.0776555	 4.666443	 4.567575	 2.738644	 4.6751831	 4.449886	 4.159013	 4.653836	 4.5566929	 5.248777	 5.3398785	 2.046692	 4.2223697	 5.883890	 5.351125	 3.342327	 4.7269761	 5.5786355	 4.1436529
hsa-mir-182	18.7700220	11.5986480	16.405730	12.290300	16.631400	11.8103902	17.566325	11.8629500	12.006881	13.3235937	13.5790722	12.9982979	17.396065	11.914043	15.780934	13.7689581	14.1623286	12.4398166	15.757998	11.775149	10.523137	11.6894375	13.8149889	11.522506	16.3181069	13.6598254	15.096726	12.8469228	14.082812	11.795982	17.649256	12.0224682	13.805644	12.5554202	16.977178	12.109052	17.750131	12.5400659	11.666484	12.1806770	18.471765	11.9341139	15.007374	12.7063048	18.454357	11.5467324	16.7679502	11.4314588	11.602829	12.975462	10.307215	11.5565317	14.3052029	11.8661898	13.818455	12.0952338	17.459637	10.678291	15.704236	11.8365183	13.185956	11.088495	12.889248	12.7337776	14.952400	13.8331291	15.960645	12.2695940	14.914353	14.353670	13.996792	13.0010799	16.5594814	12.8086951
hsa-mir-1825	 0.0000000	 0.0000000	 0.000000	 1.541914	 0.000000	 0.0000000	 0.000000	 0.0000000	 1.740635	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.8071504	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 1.9575931	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 1.3655642	 0.000000	 1.089717	 0.000000	 0.0000000	 0.7133863	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.8414873	 0.000000	 1.038452	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 1.773487	 0.000000	 2.017019	 0.0000000	 0.0000000	 0.0000000
hsa-mir-1827	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.866721	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 1.346304	 0.0000000	 0.000000	 0.0000000	 0.000000	 0.000000	 0.000000	 0.0000000	 0.0000000	 0.0000000
hsa-mir-183	17.5363244	 9.8005215	14.343685	10.416782	14.924590	10.0936500	16.509983	 9.9060526	11.065933	11.5713380	11.6781669	11.0927321	15.993564	 9.848637	15.009091	12.0555676	12.4131555	10.7012702	14.644681	10.013503	 9.057950	 9.8982331	12.7360196	 9.560529	15.6455088	11.9086327	14.042565	10.9066015	12.776977	10.192828	15.461349	10.4305233	12.862941	10.8309983	15.355485	10.273070	15.887823	10.6696902	10.025031	10.2421906	16.289856	10.1098258	13.592950	10.9506731	17.580403	 9.4600102	16.3765378	 9.7775587	 9.854484	10.870180	 9.007955	 9.3222319	12.5105741	 9.6181207	12.311355	 9.8979810	16.287560	 9.053164	13.771365	 9.8411306	12.087243	 9.163233	11.914047	10.4638062	12.722292	12.0678436	14.580546	10.3148630	13.292979	12.451871	12.809322	11.0789537	15.6691330	10.9310864
hsa-mir-184	 3.2189528	 3.2426894	 3.707721	 0.000000	 4.812916	 1.7691588	 7.159954	 2.5239347	 1.118301	 0.0000000	 2.3845112	 2.1097990	 6.618268	 1.384914	 6.356860	 0.9169457	 3.2561140	 3.7317449	 0.000000	 2.436414	 1.780189	 1.1555110	 2.2190927	 0.000000	 2.5562293	 2.4547038	 5.842118	 1.9996421	 4.890383	 1.076195	 2.242827	 0.0000000	 3.483183	 4.5454768	 1.992775	 1.442116	 1.038770	 0.9483783	 1.404373	 1.4040831	 1.149419	 0.9457361	 0.000000	 0.8616253	 4.526898	 0.0000000	 0.0000000	 0.0000000	 2.482679	 2.132567	 0.000000	 2.7645295	 4.4241658	 0.8351736	 6.545242	 0.0000000	 1.642128	 0.000000	 1.094159	 0.8414873	 3.223726	 1.038452	 3.179168	 1.0342910	 8.371194	 5.6149649	 6.418739	 0.0000000	 3.416187	 0.000000	 1.335559	 0.7111129	 0.0000000	 0.0000000
