GENE	SCORE	Y
378464	2.115620210559257e-05	0.0
378465	1.1842969835729643e-05	0.0
55290	0.0006597203503556624	0.0
5989	0.0002699631149914461	0.0
55296	0.00012553182321252518	0.0
55297	0.0011351157187922895	0.0
55294	0.000606011266052958	0.0
55295	0.00015541745722433864	0.0
5982	0.000240536774298589	0.0
5983	0.0001867015897603941	0.0
5980	0.00031065093930183286	0.0
55299	9.192475866424556e-05	0.0
5987	0.0013056157167131324	0.0
5984	0.00014929386690694022	0.0
5985	0.0002924156127864003	0.0
260294	1.9596180440000642e-05	0.0
270	6.292520979195467e-05	0.0
55837	0.0002172783075554224	0.0
272	7.136223231397119e-05	0.0
273	0.0006020866444901893	0.0
55832	0.00014299853824536546	0.0
276	8.303052334945292e-05	0.0
55831	1.889569621681826e-05	0.0
279	0.0	0.0
85358	0.00025890132717295704	0.0
9256	3.2446722777430013e-07	0.0
9254	0.00012553182321252518	0.0
9255	0.0007100271125010976	0.0007384338203826876
9252	0.0007570247979919436	0.0
9253	0.00021399781602836533	0.0
57472	0.00011933742525477195	0.0
57473	0.0018432011698037228	0.0
55291	5.1558063465884495e-05	0.0
84126	0.0008712074698996816	0.0
353267	4.988693096245472e-05	0.0
26020	1.2064384960539157e-05	0.0
5981	0.0035811376678696553	0.0
147872	0.0	0.0
84699	9.731344457566314e-05	0.0
138046	0.00021063433968565663	0.0
3512	4.384932447464639e-05	0.0
3516	0.0006771605929256895	0.0
3514	0.0008669309310477578	0.0
727773	5.8365783791091655e-05	0.0
112950	0.0004900005614145516	0.0
256297	3.807579140627527e-05	0.0
83478	4.6310881186503454e-05	0.0
83475	1.3353458372170123e-05	0.0
83473	3.906996837737421e-05	0.0
29765	3.710544137251719e-05	0.0
29767	5.202057476276984e-05	0.0
29766	0.00013838466398701272	0.0
29761	1.2414444171079181e-05	0.0
29760	0.0007065439334210086	0.0
29763	0.00052731802718656	0.0
1176	0.0004624323516679871	0.0
1175	0.0011928890433434678	0.002004727562127974
1174	0.00024278053127762785	0.0
1173	0.0016776727974416122	0.0
23509	0.0006964704555195209	0.0
23506	6.445601609749287e-05	0.0
1179	0.0003744528177219426	0.0
388677	4.9507668603374934e-05	0.0
8548	3.0447726900072695e-05	0.0
8545	1.2311052569443728e-05	0.0
8544	0.00013844944624996094	0.0
8546	0.0019244353879070528	0.002004727562127974
8541	0.0005254584955399072	0.0
8540	0.0016064357270856489	0.002004727562127974
8543	0.0005056605817567487	0.0
8542	9.241040812097468e-05	0.0
55629	0.0006433180876629943	0.0
55622	0.00010236759872785456	0.0
55621	1.149677537573763e-05	0.0
55620	0.000402493245577947	0.0
55627	2.6774523984761496e-05	0.0
55625	1.2664336153348902e-05	0.0
84901	3.183322890326721e-05	0.0
84904	0.00011862694662160483	0.0
84905	3.195735420370473e-05	0.0
84908	2.5832944163450913e-05	0.0
127733	5.932504200788475e-05	0.0
65268	3.432888465200425e-05	0.0
65264	0.0002433131775359667	0.0
65265	5.1886316045353744e-05	0.0
65266	0.0004197616421411188	0.0
393	0.0005540540754048571	0.0
392	0.0007690762058212422	0.0
391	0.0003578316096142474	0.0
390	0.0004588681022944822	0.0
397	0.00031999656011797535	0.0
396	0.004465374887002727	0.0
394	0.0003404947356705041	0.0
399	0.0002885473768630637	0.0
398	0.00013916979701496024	0.0
4729	0.0021284731264118693	0.002004727562127974
4726	0.0013763686671404137	0.002004727562127974
4720	0.001677710284810071	0.002004727562127974
4723	0.0010205504680047182	0.002004727562127974
4722	0.001677710284810071	0.002004727562127974
389692	0.0003465954010421598	0.0
3746	7.392741459258184e-05	0.0
3747	7.392739786480442e-06	0.0
3744	5.386739743603615e-05	0.0
3745	0.00015103918477661643	0.0
3741	0.00024084550791710115	0.0
57662	4.909414676273217e-05	0.0
57664	8.272553136152622e-05	0.0
80108	0.0001237884620114018	0.0
57085	0.0001787604011235151	0.0
10391	8.1426330797519e-05	0.0
10392	0.0031684353821700042	0.0
10393	0.0006423054206633839	0.0
10395	0.007654091216015482	0.014625713645003693
10397	0.0018934704253714754	0.0007384338203826876
10398	3.574181056584188e-05	0.0
10399	0.0025943817009908255	0.0
57088	0.00021853779131679457	0.0
100130892	1.5538481202742105e-05	0.0
7214	2.5901580693028376e-05	0.0
7216	6.645140694450598e-05	0.0
6217	0.0006877567776315464	0.0
55835	0.00039163755331391196	0.00027178148312752753
6210	0.00012212866441630772	0.0
274	0.0008799360777627525	0.00027178148312752753
54413	0.002901705852228385	0.005430707416226322
6218	5.6911732731544504e-05	0.0
6811	0.0012984563580594282	0.0
6810	0.0004425081948288652	0.0
6813	0.00016567281398170033	0.0
6812	0.0005953985061800808	0.0
6815	1.1852708711899511e-05	0.0
6814	0.0005763244321285216	0.0
9757	0.00018419410934545624	0.0
9755	1.2459941327022344e-05	0.0
9753	7.106086374483758e-05	0.0
9752	1.9320663192196605e-05	0.0
9751	1.1860759146441352e-05	0.0
9759	0.0021000241266583364	0.0
9758	2.207701036351439e-05	0.0
24144	0.0	0.0
24142	2.041370440485996e-05	0.0
24140	0.0007329893001675933	0.00027178148312752753
24148	0.0003448686849142268	0.0
253260	0.0009951862174339076	0.0
26330	9.231784437353716e-05	0.0
80817	0.00016470157574067912	0.0
1762	1.1956769033553524e-05	0.0
1760	0.0012508120103045914	0.002004727562127974
88455	4.331951380273896e-05	0.0
11113	0.0002774998564118016	0.0
11117	4.6565738362809146e-05	0.0
11116	0.00029244342999855085	0.0
8711	8.982697155532335e-05	0.0
283464	8.098366312156124e-05	0.0
8715	5.270964174902232e-05	0.0
8717	0.005145643547160847	0.0
8718	0.0002036417821001782	0.0
170685	2.133501203257554e-05	0.0
170680	3.6148996127414665e-05	0.0
339448	0.00011175088309273238	0.0
23266	3.353104461727048e-05	0.0
23264	1.920212898029256e-05	0.0
23265	0.0004990008517259822	0.0
132660	0.0012404879052649097	0.0
23263	9.717426032045751e-05	0.0
23261	7.136223231397119e-05	0.0
23268	0.0002266021325885126	0.0
23269	0.0001243449638267328	0.0
57474	1.1012087224756049e-05	0.0
644815	5.253586442522986e-05	0.0
128853	0.00016008204652038325	0.0
6778	0.00045313908188865707	0.0
6779	1.3733442965237923e-05	0.0
6774	0.012078889205694254	0.0007384338203826876
6775	0.0001703198559735387	0.0
6776	0.002393863394298433	0.0
6777	0.0021489388145231915	0.0007384338203826876
6770	0.0011047932875648877	0.002004727562127974
6772	0.004687712652378343	0.0
6773	0.0006088761408860649	0.0
386618	1.274391206977337e-05	0.0
201895	1.062480633137421e-05	0.0
84221	5.418594871889857e-06	0.0
9502	3.208484915404969e-05	0.0
9500	0.0010886338994473444	0.0
9501	0.000296743386078375	0.0
9507	0.00019262381149361084	0.0
2515	9.654204231140782e-06	0.0
2516	0.003193683424995305	0.0
2517	0.002743596458355184	0.005430707416226322
2512	0.0013186604407753482	0.002004727562127974
5058	0.0026495138208468758	0.0
5054	0.0012387703974118135	0.0
5055	0.0008126862010940759	0.0
22818	2.2012297894442673e-05	0.0
5050	0.0016572073735935532	0.0
5052	0.0003443357440172372	0.0
5053	0.008821832118241321	0.014625713645003693
60468	0.00027176562196975406	0.0
54997	0.0004222001330770537	0.0
54994	1.1504686724081619e-05	0.0
54998	0.0004415712147641886	0.0
122011	2.8968732379065933e-05	0.0
132320	4.816016325898523e-06	0.0
89941	3.463583177495244e-05	0.0
83637	8.031576018431142e-05	0.0
83638	3.4353163631723556e-05	0.0
23078	4.796624526390672e-05	0.0
23072	0.0005188641300942132	0.0
23071	4.520209042173156e-05	0.0
23077	0.00030933734203171943	0.0
23076	0.0001359925309096605	0.0
23075	0.00016500677634951656	0.0
29127	0.0014857667926187186	0.0
29126	0.0	0.0
25898	0.0011694521205914386	0.0
29123	0.0012347619189349219	0.002004727562127974
29121	7.503080806266793e-06	0.0
25893	1.501631592273936e-05	0.0
25890	8.497419430427625e-06	0.0
25897	0.0006309750741704582	0.0
29128	7.011419447298956e-05	0.0
8034	0.00017288692234560964	0.0
8036	0.0019958898073265917	0.0007384338203826876
8031	0.00033670486561933756	0.0
8030	3.3601182407744636e-05	0.0
8038	0.0003362814977559627	0.0
26608	1.2789210403041756e-05	0.0
126669	2.2485914816274602e-05	0.0
2692	0.00012900412044593944	0.0
65061	0.00022130955129649822	0.0
23381	0.00015911197227630908	0.0
23380	8.844030467713596e-05	0.0
23382	4.363032061196488e-05	0.0
23385	0.0032733605603709713	0.005430707416226322
23384	0.00040739503704609467	0.0007384338203826876
23387	9.064636367453432e-05	0.0
23386	2.579173804026521e-05	0.0
23389	0.0001951331519061638	0.00027178148312752753
155465	3.387682777204056e-05	0.0
84695	1.1585190242039709e-05	0.0
81565	0.00020649319300630829	0.0
81566	6.153847659700849e-05	0.0
344148	4.2494208554307765e-05	0.0
5869	0.0005984102116227924	0.0
5868	0.002591851403094992	0.0
5865	0.00027122049961918735	0.0
5864	0.0003874796897588714	0.0
5867	0.001577337873012526	0.0
5866	7.218391144457564e-05	0.0
5861	0.0005918889803559276	0.0
5860	0.004981177387917585	0.005430707416226322
5863	0.0003211766865679351	0.0
5862	0.00020746997007571605	0.0
56667	6.220719468916524e-05	0.0
56848	2.290621610490775e-05	0.0
4608	0.0	0.0
4609	0.02117354376728144	0.002004727562127974
4606	0.0	0.0
4607	0.0005089036413967097	0.0007384338203826876
4604	5.8444218377816174e-05	0.0
4605	0.001271623648351405	0.0
4602	0.003113501645600632	0.0
4603	0.00010489365296965957	0.0
4601	0.019804301252135822	0.03878217303877158
27237	6.396170274503513e-05	0.0
27236	0.00023809699661128387	0.0
27231	0.0001184382290119686	0.0
27230	0.00010779808615347802	0.0
27232	0.019660218454129935	0.03878217303877158
51124	4.363032061196488e-05	0.0
51125	1.958841844523733e-05	0.0
51126	0.00011717866339623558	0.0
51127	6.011310341432353e-06	0.0
27238	5.0697098542307316e-05	0.0
51122	6.546050342812468e-05	0.0
151	0.0006162697268865755	0.0007384338203826876
150	0.0004118718043887554	0.0
153	0.0004060263044641184	0.0001
152	8.806210235606871e-05	0.0
155	0.001204316199203141	0.002004727562127974
154	0.004314197566671504	0.005430707416226322
157	0.000383358837903194	0.0
156	0.0013943221470067927	0.0
159	5.066711925626542e-05	0.0
85440	0.0003395267708007934	0.0
85441	7.490677090148907e-05	0.0
85444	8.173684414192783e-05	0.0
85445	0.00047042653461981085	0.0
200576	0.0001943204288919762	0.00027178148312752753
90293	1.1803039617242106e-05	0.0
100124696	0.000358702962660705	0.0
9191	0.0042771819479012416	0.0
7940	3.8269485548541866e-05	0.0
7941	1.4117946149075649e-05	0.0
7942	7.827818568930777e-05	0.0
83844	3.611670695393882e-05	0.0
80380	0.0	0.0
5939	0.0	0.0
5566	0.017410882072572298	0.0
90121	1.3077871896363363e-05	0.0
10518	1.6872890355549345e-05	0.0
10519	0.000686933073489438	0.0
10512	3.002922354377848e-05	0.0
