GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000172932	0.005131543043590215	0.008631004524490966	7937.0	0.816
ENSG00000172936	0.05827283198520557	0.0473087148480246	15802.0	0.328
ENSG00000172938	0.013636928200323358	0.013636928200323358	10494.0	0.077
ENSG00000172939	0.00689486641002818	0.022935158029301378	13266.0	0.126
ENSG00000172943	0.03415054807560798	0.03588113525913109	15062.0	0.779
ENSG00000172954	0.023385370662554493	0.011933730894608224	9741.0	0.114
ENSG00000172955	0.0	0.004704120538886543	5149.0	0.927
ENSG00000172967	0.0	0.0005491000008337162	299.0	0.434
ENSG00000172977	1.2958174421677658e-05	0.1291158235277605	17018.0	0.64
ENSG00000172985	0.0	0.0036327935436858186	4248.0	0.834
ENSG00000172986	0.0	0.0005017660168885702	146.0	0.879
ENSG00000172987	0.0979274160448636	0.0979274160448636	16875.0	0.395
ENSG00000172992	0.0	0.004936611375675673	5352.0	0.7
ENSG00000172995	0.008773478557633647	0.002125844197099272	2758.0	0.244
ENSG00000173011	0.0	0.013086654683020442	10249.0	0.847
ENSG00000173020	0.008404371019280356	0.04572042430649006	15718.0	0.278
ENSG00000173039	0.022264838250664287	0.2186300433870614	17205.0	0.71
ENSG00000173040	0.03723549852057246	0.0635854081489776	16381.0	0.727
ENSG00000173064	0.0	0.0005883278525275838	514.0	0.175
ENSG00000173065	0.0	0.0005672567323954878	416.5	0.794
ENSG00000173068	0.026233375113099595	0.0047867258619637325	5219.0	0.733
ENSG00000173077	0.0	0.018659019674334677	12247.0	0.423
ENSG00000173080	0.032371119644474186	0.0063869913331877646	6432.0	0.187
ENSG00000173083	0.02043438572324532	0.004620071262552443	5068.0	0.297
ENSG00000173085	0.1412918937305083	0.1412918937305083	17067.0	0.077
ENSG00000173110	0.0	0.045992574676257225	15733.0	0.05
ENSG00000173113	0.0	0.011138313193131218	9336.0	0.966
ENSG00000173114	0.007467507466631697	0.0013430794290797093	1961.0	0.384
ENSG00000173120	0.012764626536385246	0.015291352622288656	11133.0	0.775
ENSG00000173141	0.0	0.004773118378656362	5207.0	0.606
ENSG00000173145	0.003974448458269506	0.010624766950351014	9079.0	0.303
ENSG00000173153	0.0	0.025454354608169073	13781.0	0.792
ENSG00000173156	0.0	0.019843767401069624	12542.0	0.841
ENSG00000173157	0.002835517850460135	0.0009256074272716418	1294.0	0.907
ENSG00000173163	0.012804494190343461	0.036928092884934954	15155.0	0.076
ENSG00000173166	0.0	0.007930955530936626	7509.0	0.775
ENSG00000173171	0.0	0.011196207185236352	9363.0	0.492
ENSG00000173175	0.137990698854567	0.020229904001985637	12641.0	0.094
ENSG00000173193	0.016310906017952438	0.008823812059702575	8062.0	0.303
ENSG00000173198	0.017357837528962975	0.004664423931095415	5106.0	0.271
ENSG00000173200	0.0	0.0006801902093449038	998.0	0.357
ENSG00000173207	0.0065453513150383474	0.024231684184329447	13549.0	0.753
ENSG00000173208	0.051746476470024554	0.009140802337428339	8237.0	0.148
ENSG00000173209	0.0	0.0023246487514706096	2957.0	0.833
ENSG00000173210	0.0	0.00551372001901027	5798.0	0.576
ENSG00000173212	0.0	0.0061222496689980945	6234.0	0.653
ENSG00000173214	0.0	0.0037216048989744464	4330.0	0.968
ENSG00000173218	0.05240710234393164	0.01937626089514427	12417.0	0.96
ENSG00000173221	0.012875881749171345	0.011101529634920917	9317.0	0.598
ENSG00000173226	0.041353136374377465	0.1514692118037051	17087.0	0.597
ENSG00000173227	0.0	0.0018226285476581052	2428.0	0.798
ENSG00000173230	0.0	0.021088282731908325	12850.0	0.216
ENSG00000173239	0.0	0.0005038467977131623	151.0	0.912
ENSG00000173250	1.3390917841730015e-05	0.0014258612541553281	2042.0	0.531
ENSG00000173253	0.04549591031343893	0.04549591031343893	15707.0	0.35
ENSG00000173258	0.0	0.005650548706588774	5882.0	0.843
ENSG00000173267	0.01830516284194588	0.016852703668472684	11677.0	0.176
ENSG00000173269	0.0	0.0006032654801889025	606.0	0.936
ENSG00000173272	0.0	0.007810947987097351	7432.0	0.812
ENSG00000173273	0.05232694577259239	0.028746762790983454	14271.0	0.028
ENSG00000173275	0.0	0.0017186340953567758	2283.0	0.91
ENSG00000173276	0.0	0.00768488220684965	7347.0	0.631
ENSG00000173281	0.029164942130816943	0.012117609698733546	9829.0	0.238
ENSG00000173295	0.0	0.001321693967234686	1929.0	0.562
ENSG00000173320	0.0	0.0005607206799846862	363.0	0.962
ENSG00000173327	0.00775400389508714	0.025368243915954113	13766.0	0.551
ENSG00000173334	0.017330583307342776	0.012772551085405762	10110.0	0.633
ENSG00000173335	0.0	0.002357972672723568	3006.0	0.943
ENSG00000173338	1.3390917841730015e-05	1.3390917841730015e-05	93.5	0.573
