GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000000003	0.0	0.004083959708458553	5809.0	0.322
ENSG00000000005	0.00207035584759038	0.0009644478537333766	1830.0	0.954
ENSG00000000419	0.05627191713198292	0.021829101920042508	14107.0	0.715
ENSG00000000457	0.0	0.004571485218740961	6285.0	0.933
ENSG00000000460	0.032733898286642416	0.011827064848191357	11176.0	0.186
ENSG00000000938	0.013299933126857838	0.021371123701436	14026.0	0.07
ENSG00000000971	0.07105709928183634	0.028201339421465323	15021.0	0.333
ENSG00000001036	0.0	0.0015908294582751732	2970.0	0.704
ENSG00000001084	0.07084759750851857	0.010185494827620184	10340.0	0.083
ENSG00000001167	2.0852272464635997e-05	0.027574843251415574	14959.0	0.541
ENSG00000001461	0.03464415476021587	0.004649613636942529	6375.0	0.189
ENSG00000001497	0.018204484237920933	0.020999341611045753	13959.0	0.945
ENSG00000001561	0.0	0.0030897013270890345	4802.0	0.966
ENSG00000001617	0.010158601333147756	0.006454325252013583	7918.0	0.99
ENSG00000001626	0.07711678956008991	0.1486203448086549	17147.0	0.458
ENSG00000001629	0.0	0.0020515018187624483	3591.0	0.333
ENSG00000001630	0.009375107481903181	0.013101140147356865	11703.0	0.916
ENSG00000001631	0.049577920523764495	0.01379797289674092	11996.0	0.919
ENSG00000002016	0.0	0.02425882465112591	14518.0	0.059
ENSG00000002079	0.0	0.0004939416226773622	637.0	0.409
ENSG00000002330	0.07643615582216211	0.0401081785177861	15941.0	0.031
ENSG00000002549	0.0	0.009726427992433048	10096.0	0.098
ENSG00000002586	0.0	0.006803721036613101	8226.0	0.086
ENSG00000002587	0.0018113070730732615	0.001297964298273686	2538.0	0.926
ENSG00000002726	0.035674355895250004	0.006074259985024809	7618.0	0.614
ENSG00000002745	0.0017933245098739	0.0007785435759966595	1610.0	0.921
ENSG00000002746	0.0	0.008322957109728564	9255.0	0.638
ENSG00000002822	0.19658540519317508	0.04909860148189822	16306.0	0.014
ENSG00000002834	0.009451431284407875	0.033137000032099094	15505.0	0.943
ENSG00000002919	0.0	0.009887777109602263	10174.0	0.837
ENSG00000002933	0.0	0.0026172352932587414	4267.0	0.186
ENSG00000003056	0.010099076741351048	0.009280791414667366	9851.0	0.193
ENSG00000003096	0.0	0.01429248156945672	12181.0	0.236
ENSG00000003137	0.01639138282800532	0.0027809008225447964	4473.0	0.994
ENSG00000003147	0.03935312823880217	0.01052832219034069	10521.0	0.115
ENSG00000003393	0.024934986419465753	0.005843086806857089	7430.0	0.933
ENSG00000003400	0.10101690578333689	0.03547332250318301	15666.0	0.025
ENSG00000003402	0.013414366267078726	0.0377766927764917	15800.0	0.072
ENSG00000003436	0.022854515646581267	0.013129900279687733	11719.0	0.563
ENSG00000003509	2.0668434059915834e-05	0.005270869516026014	6921.0	0.9
ENSG00000003756	0.017909054874420155	0.018527658423869393	13423.0	0.177
ENSG00000003987	0.0	0.00046003802294005986	417.5	0.722
ENSG00000003989	0.0189843740270954	0.0075704189039309715	8757.0	0.069
ENSG00000004059	0.0	0.019206379127401797	13583.0	0.014
ENSG00000004139	0.021753209031209912	0.013311406032791177	11802.0	0.249
ENSG00000004142	0.012229135409110001	0.013768722414851548	11979.0	0.364
ENSG00000004399	0.0116169737636872	0.007224297105965157	8521.0	0.985
ENSG00000004455	0.04299731932716632	0.01350283870147364	11872.0	0.447
ENSG00000004468	0.0608761718920335	0.012114430860861225	11301.0	0.035
ENSG00000004478	0.05392410417380875	0.048015982240985765	16270.0	0.497
ENSG00000004487	0.0011457844217657328	0.16625038928962493	17176.0	0.971
ENSG00000004534	0.0	0.007275323978591128	8557.0	0.423
ENSG00000004660	0.0010126786915256474	0.013828340080686641	12006.0	0.798
ENSG00000004700	0.009082300549006203	0.013008768908590634	11673.0	0.186
ENSG00000004766	0.0	0.013140920025732932	11728.0	0.881
ENSG00000004776	0.0	0.004960498721151	6653.0	0.91
ENSG00000004777	0.006090945858079324	0.002281680755441902	3895.0	0.973
ENSG00000004779	0.0	0.011854034894516488	11186.0	0.484
ENSG00000004799	0.054631541422831616	0.00716984238139988	8492.0	0.022
