GENE	SCORE_UNRANKED_UNPROP	SCORE_UNRANKED_PROP	SCORE_RANKED_PROP	PVALUE
ENSG00000000003	0.0	0.004631150942970381	5755.0	0.595
ENSG00000000005	0.014818615590691404	0.002357474025033767	3512.0	0.549
ENSG00000000419	0.12083125657132791	0.033142502772044884	15099.0	0.295
ENSG00000000457	0.0	0.005541235984943704	6505.0	0.582
ENSG00000000460	0.025171124697092068	0.012167698746679953	10513.0	0.268
ENSG00000000938	0.0006570423989504965	0.020786144114957383	13282.0	0.427
ENSG00000000971	0.05663931187027112	0.027912008751010884	14523.0	0.69
ENSG00000001036	0.0	0.001909116241383722	2975.0	0.729
ENSG00000001084	0.04023485147216883	0.007190601942628945	7705.0	0.314
ENSG00000001167	1.3167242216448685e-05	0.03238573312620351	15043.0	0.091
ENSG00000001461	0.0553694192954144	0.007011298058593883	7586.0	0.061
ENSG00000001497	0.04654864028987526	0.026716760100312598	14360.0	0.873
ENSG00000001561	0.0	0.003813591156674416	5063.0	0.758
ENSG00000001617	0.030842200512183993	0.009571052780037063	9186.0	0.473
ENSG00000001626	0.07721660561979628	0.17526058782378098	17155.0	0.16
ENSG00000001629	0.0	0.0022954706394941863	3414.0	0.852
ENSG00000001630	0.03136686689738497	0.01693323786996742	12272.0	0.8
ENSG00000001631	0.060471393897799486	0.01755018989558455	12467.0	0.805
ENSG00000002016	0.0	0.02726138289869421	14443.0	0.52
ENSG00000002079	0.0	0.0005657115568149911	550.0	0.651
ENSG00000002330	0.02032902080936932	0.03795961233307331	15505.0	0.357
ENSG00000002549	0.0	0.011014366932198384	9959.0	0.484
ENSG00000002586	0.0	0.0076202354157388396	8020.0	0.514
ENSG00000002587	0.0028974229397951525	0.00160818698870172	2533.0	0.878
ENSG00000002726	0.053432583949239276	0.00891706017750492	8819.0	0.313
ENSG00000002745	0.019880197735044618	0.0026290934173002463	3843.0	0.335
ENSG00000002746	0.0	0.010576799189011313	9734.0	0.015
ENSG00000002822	0.043011332819232806	0.03701202284799282	15435.0	0.296
ENSG00000002834	0.021129086731258538	0.03928870851308343	15601.0	0.782
ENSG00000002919	0.0	0.011662822139573413	10277.0	0.788
ENSG00000002933	0.0	0.002866070792723313	4088.0	0.749
ENSG00000003056	0.010448284340488912	0.010458581887675903	9677.0	0.236
ENSG00000003096	0.0	0.016689406185242492	12200.0	0.104
ENSG00000003137	0.058155516291615125	0.007166547642670798	7689.0	0.767
ENSG00000003147	0.011278876594413123	0.00910529871260203	8917.0	0.445
ENSG00000003393	0.2738326619668365	0.03153394128423142	14953.0	0.009
ENSG00000003400	0.026088191498890422	0.029439787331519765	14723.0	0.442
ENSG00000003402	0.021707564740252948	0.0399163360166542	15636.0	0.271
ENSG00000003436	0.029302115953053872	0.012946681117628433	10835.0	0.872
ENSG00000003509	1.3093700711565907e-05	0.008569540885950083	8624.0	0.431
ENSG00000003756	0.005212920825374817	0.01962611956264556	12998.0	0.675
ENSG00000003987	0.0	0.0005829595183186571	641.5	0.075
ENSG00000003989	0.0013522761937113416	0.007028428267470645	7597.0	0.605
ENSG00000004059	0.0	0.021073087023821435	13335.0	0.23
ENSG00000004139	0.020611410899613675	0.014794085564161997	11558.0	0.286
ENSG00000004142	0.02127199148941637	0.01551067643100142	11810.0	0.401
ENSG00000004399	0.01695788836132547	0.015087994769324061	11664.0	0.746
ENSG00000004455	0.05447098658284773	0.0157210191173748	11884.0	0.58
ENSG00000004468	0.020166444279184625	0.007825370213433911	8163.0	0.316
ENSG00000004478	0.011977391347019651	0.05271156646085455	16223.0	0.806
ENSG00000004487	0.0038732805539137285	0.19013698590643455	17181.0	0.885
ENSG00000004534	0.0	0.00901861108923948	8871.0	0.006
ENSG00000004660	0.013073769084940384	0.01725005557101525	12374.0	0.096
ENSG00000004700	0.006113427116243259	0.014413903618717607	11422.0	0.695
ENSG00000004766	0.0	0.016718196439887013	12204.0	0.69
ENSG00000004776	0.0	0.007042953986244665	7603.0	0.025
ENSG00000004777	0.020471688556556945	0.004018703567500526	5239.0	0.801
ENSG00000004779	0.0	0.016308780381544635	12076.0	0.12
ENSG00000004799	0.012087381179652495	0.003686096628780001	4941.0	0.499
ENSG00000004809	0.0	0.0006610761965592095	1073.0	0.458
ENSG00000004838	0.06729355842047424	0.014001922189551475	11284.0	0.504
ENSG00000004846	0.0	0.0010153175619248575	1600.0	0.818
ENSG00000004848	0.10890908619399677	0.021505597864487726	13429.0	0.249
ENSG00000004864	0.06143191639755979	0.046566783001874244	15974.0	0.302
ENSG00000004866	0.0	0.008075299954753527	8328.0	0.854
ENSG00000004897	0.0	0.059680505690994305	16419.0	0.579
ENSG00000004939	0.02890471320505765	0.018602089244471254	12764.0	0.521
ENSG00000004948	0.028101033716002935	0.01556326865786625	11827.0	0.311
ENSG00000004961	0.04272494603263795	0.018216863383642416	12653.0	0.772
ENSG00000004975	0.039335073070480196	0.08422845348364934	16803.0	0.573
ENSG00000005001	0.0	0.0012375064294265171	2040.0	0.966
ENSG00000005007	0.003894446755926442	0.07943163640302676	16751.0	0.824
ENSG00000005020	0.010757973469110347	0.011256335193321967	10065.0	0.303
ENSG00000005022	0.0	0.07827974218295503	16736.0	0.214
ENSG00000005059	0.02785177983163382	0.00609382578263275	6918.0	0.126
ENSG00000005073	0.023856138550641524	0.007369313909421936	7822.0	0.941
ENSG00000005075	0.0	0.025918164094674626	14248.0	0.864
ENSG00000005100	1.3078956997634319e-05	0.008832221958843742	8780.0	0.936
ENSG00000005102	0.04835202534068596	0.03018533527900328	14821.0	0.677
ENSG00000005108	0.0	0.001760553131333039	2747.0	0.848
ENSG00000005156	0.005248540219144973	0.038271346381928674	15524.0	0.703
ENSG00000005175	0.0	0.044179563922229645	15846.0	0.87
ENSG00000005187	1.3390917841730015e-05	0.0010847432941727352	1681.0	0.889
ENSG00000005189	0.0	0.0012817978349850283	2150.0	0.97
ENSG00000005194	0.01733945882087836	0.0067589106545195305	7417.0	0.438
ENSG00000005238	0.0	0.005739734270407542	6659.0	0.932
ENSG00000005243	0.0	0.0018393919030925084	2855.0	0.588
ENSG00000005249	0.05300914651209678	0.037567139422200774	15475.0	0.06
ENSG00000005302	0.0	0.007877112668157748	8190.0	0.8
ENSG00000005339	0.0690352794123058	0.23878603776576127	17221.0	0.806
ENSG00000005379	1.3390917841730015e-05	0.014563798728328086	11483.0	0.159
ENSG00000005381	0.07917324117767695	0.011611484732782925	10250.0	0.135
ENSG00000005421	0.02218893528140148	0.004895320499305295	5991.0	0.106
ENSG00000005436	0.0	0.013122231556590602	10917.0	0.616
ENSG00000005448	0.0	0.0042925442291607725	5469.0	0.464
ENSG00000005469	0.0	0.004698671696424662	5822.0	0.081
ENSG00000005471	0.07192497957854119	0.013425762590517722	11047.0	0.438
ENSG00000005483	0.013590047804339159	0.009505717531760176	9153.0	0.938
ENSG00000005486	0.0	0.003648094802054676	4900.0	0.568
ENSG00000005513	0.010465169876313633	0.018236592811825065	12658.0	0.789
ENSG00000005700	0.0	0.030493084191914006	14856.0	0.423
ENSG00000005801	0.0	0.001727608078401722	2695.0	0.922
ENSG00000005810	0.05859002948136058	0.034918390653046694	15270.0	0.007
ENSG00000005812	0.0028544522683437265	0.007716772606586442	8084.0	0.572
ENSG00000005844	0.017064349067221707	0.009880328644467721	9367.0	0.377
ENSG00000005882	0.013624761357894756	0.009202422088164453	8981.0	0.259
ENSG00000005884	0.07354217380219145	0.02240520170316331	13610.0	0.747
ENSG00000005889	0.005814833298953659	0.001682912650786723	2626.0	0.789
ENSG00000005893	0.1666587470456288	0.029829825170944402	14773.0	0.029
ENSG00000005955	0.0	0.0024129276043489798	3592.0	0.77
ENSG00000005961	0.07091422956319934	0.021088534835862722	13340.0	0.477
ENSG00000005981	0.008259528713884192	0.018464041495502504	12726.0	0.343
ENSG00000006007	0.002488070940763717	0.01248615978953587	10649.0	0.415
ENSG00000006015	0.0	0.004065696504450187	5277.0	0.733
ENSG00000006016	0.1774976805643278	0.024876875367547405	14087.0	0.071
ENSG00000006042	0.023152823533838497	0.003984309769702792	5214.0	0.87
ENSG00000006047	0.004636608343193952	0.004064978236483263	5275.0	0.817
ENSG00000006059	0.0	0.0028322468485598175	4039.0	0.758
ENSG00000006062	0.022939581584770635	0.02475405658697001	14064.0	0.486
ENSG00000006071	0.08241466458378008	0.014622858151522776	11508.0	0.147
ENSG00000006074	0.0	0.004808035564148057	5920.0	0.798
